一月	いちがつ
七月	しちがつ
三人	さんにん
三月	さんがつ
九月	くがつ
二人	ふたり
二月	にがつ
五月	ごがつ
人口	じんこう
人気	にんき
八月	はちがつ
六月	ろくがつ
十月	じゅうがつ
四月	しがつ
大学	だいがく
大手	おおて
女子	じょし
学校	がっこう
学生	がくせい
男子	だんし
一人	ひとり
人生	じんせい
先月	せんげつ
年生	ねんせい
年金	ねんきん
文学	ぶんがく
本人	ほんにん
男女	だんじょ
赤字	あかじ
一本	いっぽん
一気	いっき
下車	げしゃ
中学	ちゅうがく
大人	おとな
文字	もじ
空気	くうき
青年	せいねん
入学	にゅうがく
名人	めいじん
日中	にっちゅう
本名	ほんみょう
森林	しんりん
火山	かざん
青山	せいざん
上下	じょうげ
休日	きゅうじつ
名目	めいもく
大気	たいき
小学	しょうがく
本音	ほんね
青木	あおき
一生	いっしょう
上空	じょうくう
中立	ちゅうりつ
先日	せんじつ
出生	しゅっしょう
大口	おおぐち
天気	てんき
女王	じょおう
小川	おがわ
左右	さゆう
正月	しょうがつ
目玉	めだま
上田	じょうでん
中小	ちゅうしょう
土木	どぼく
大正	たいしょう
水田	すいでん
空中	くうちゅう
空白	くうはく
中年	ちゅうねん
中日	ちゅうにち
出力	しゅつりょく
出口	でぐち
十字	じゅうじ
右手	みぎて
川口	かわぐち
本文	ほんぶん
王子	おうじ
見学	けんがく
大山	たいざん
小山	こやま
手口	てぐち
手足	てあし
本気	ほんき
一円	いちえん
下町	したまち
学年	がくねん
小口	こぐち
山村	さんそん
左手	ひだりて
花火	はなび
大雨	おおあめ
学力	がくりょく
山手	やまて
本土	ほんど
目下	めした
三本	さんぼん
三男	さんなん
上手	じょうず
先手	せんて
入手	にゅうしゅ
出火	しゅっか
出足	であし
大小	だいしょう
山林	さんりん
水上	すいじょう
水中	すいちゅう
火力	かりょく
火口	ひぐち
町村	ちょうそん
糸口	いとぐち
花見	はなみ
青空	あおぞら
土石	どせき
川上	かわかみ
手本	てほん
村人	むらびと
気力	きりょく
目白	めじろ
一大	いちだい
一手	いって
入力	にゅうりょく
大木	たいぼく
大金	たいきん
目先	めさき
雨水	あまみず
一口	ひとくち
一男	いちなん
下手	へた
大名	だいみょう
天文	てんもん
年上	としうえ
本日	ほんじつ
一石	いっせき
一足	いっそく
口火	くちび
年中	ねんじゅう
王手	おうて
下水	げすい
人出	ひとで
四本	よんほん
年下	としした
年月	としつき
本山	ほんざん
火花	ひばな
車中	しゃちゅう
人文	じんぶん
人目	ひとめ
入金	にゅうきん
出土	しゅつど
名手	めいしゅ
大火	たいか
手中	しゅちゅう
一文	いちもん
一目	ひとめ
三女	さんじょ
下山	げざん
人中	ひとなか
大空	おおぞら
小雨	こさめ
山川	さんせん
水力	すいりょく
町中	まちなか
金石	きんせき
先見	せんけん
力学	りきがく
本年	ほんねん
王女	おうじょ
空手	からて
見本	みほん
一字	いちじ
人名	じんめい
出入	しゅつにゅう
王立	おうりつ
草花	くさばな
一女	いちじょ
七夕	たなばた
土手	どて
年男	としおとこ
早口	はやくち
水口	みずぐち
足早	あしばや
足音	あしおと
雨天	うてん
一校	いっこう
下火	したび
口先	くちさき
子女	しじょ
本木	もとき
林立	りんりつ
水気	みずけ
先人	せんじん
口上	こうじょう
夕日	ゆうひ
文中	ぶんちゅう
草木	くさき
三校	さんこう
小石	こいし
年休	ねんきゅう
手先	てさき
日本	にほん
月日	つきひ
本校	ほんこう
下見	したみ
休校	きゅうこう
八本	はちほん
名字	みょうじ
土中	どちゅう
学名	がくめい
小人	こびと
