高校	こうこう
中東	ちゅうとう
中間	ちゅうかん
交通	こうつう
今日	きょう
会合	かいごう
会場	かいじょう
作家	さっか
公園	こうえん
円高	えんだか
出場	しゅつじょう
前半	ぜんはん
前回	ぜんかい
前日	ぜんじつ
北方	ほっぽう
十分	じゅうぶん
半分	はんぶん
南北	なんぼく
友人	ゆうじん
同国	どうこく
名前	なまえ
回答	かいとう
国立	こくりつ
声明	せいめい
多数	たすう
大切	たいせつ
大国	たいこく
少年	しょうねん
市長	しちょう
後半	こうはん
数字	すうじ
文書	ぶんしょ
新人	しんじん
新生	しんせい
本当	ほんとう
東北	とうほく
母親	ははおや
父親	ちちおや
直前	ちょくぜん
直後	ちょくご
科学	かがく
組合	くみあい
行方	ゆくえ
電気	でんき
黒字	くろじ
一回	いっかい
中止	ちゅうし
今春	こんしゅん
公明	こうめい
内外	ないがい
合同	ごうどう
合計	ごうけい
同月	どうげつ
国交	こっこう
地上	ちじょう
地下	ちか
売買	ばいばい
多角	たかく
大半	たいはん
学園	がくえん
少数	しょうすう
帰国	きこく
年内	ねんない
手紙	てがみ
教室	きょうしつ
日夜	にちや
時点	じてん
本来	ほんらい
来日	らいにち
来月	らいげつ
東南	とうなん
東西	とうざい
校長	こうちょう
歌手	かしゅ
正午	しょうご
毎年	まいとし
気分	きぶん
絵画	かいが
自社	じしゃ
通算	つうさん
電力	でんりょく
一体	いったい
一切	いっさい
一家	いっか
上場	じょうじょう
会話	かいわ
先頭	せんとう
入場	にゅうじょう
入社	にゅうしゃ
半年	はんとし
半数	はんすう
原理	げんり
台風	たいふう
同一	どういつ
同点	どうてん
土曜	どよう
学会	がっかい
工作	こうさく
市立	しりつ
強力	きょうりょく
心理	しんり
曜日	ようび
書店	しょてん
海上	かいじょう
白書	はくしょ
知人	ちじん
社内	しゃない
空間	くうかん
計算	けいさん
長女	ちょうじょ
長年	ながねん
電子	でんし
電車	でんしゃ
一歩	いっぽ
一首	いっしゅ
三時	さんじ
人工	じんこう
人形	にんぎょう
今週	こんしゅう
会計	かいけい
体力	たいりょく
元首	げんしゅ
兄弟	きょうだい
先行	せんこう
先週	せんしゅう
公立	こうりつ
原点	げんてん
同年	どうねん
同町	どうちょう
同行	どうこう
回数	かいすう
国王	こくおう
地図	ちず
地点	ちてん
室内	しつない
室長	しつちょう
家電	かでん
山形	やまがた
広場	ひろば
店頭	てんとう
当日	とうじつ
教会	きょうかい
文明	ぶんめい
新作	しんさく
日曜	にちよう
早朝	そうちょう
明日	あした
昼食	ちゅうしょく
朝日	あさひ
本体	ほんたい
本店	ほんてん
来春	らいしゅん
毎月	まいつき
毎週	まいしゅう
画家	がか
親子	おやこ
読書	どくしょ
一角	いっかく
中原	ちゅうげん
人数	にんずう
人道	じんどう
今秋	こんしゅう
元気	げんき
公算	こうさん
前後	ぜんご
北東	ほくとう
南西	なんせい
原作	げんさく
国土	こくど
国外	こくがい
夕食	ゆうしょく
夜間	やかん
学科	がっか
学長	がくちょう
工学	こうがく
強気	つよき
当分	とうぶん
当地	とうち
来週	らいしゅう
正当	せいとう
水道	すいどう
