小麦	こむぎ
山間	さんかん
戸数	こすう
春秋	しゅんじゅう
本場	ほんば
東方	とうほう
歩道	ほどう
気合	きあい
活気	かっき
生地	きじ
直線	ちょくせん
空母	くうぼ
花園	はなぞの
西口	にしぐち
週間	しゅうかん
高山	こうざん
黒海	こっかい
三角	さんかく
元本	がんぽん
円形	えんけい
出頭	しゅっとう
北海	ほっかい
南海	なんかい
原子	げんし
国学	こくがく
国歌	こっか
場内	じょうない
夏場	なつば
多分	たぶん
夜中	よなか
大体	だいたい
学内	がくない
年数	ねんすう
弱体	じゃくたい
強行	きょうこう
木星	もくせい
校内	こうない
母校	ぼこう
気楽	きらく
海中	かいちゅう
王室	おうしつ
白星	しろぼし
空前	くうぜん
自作	じさく
草原	そうげん
親書	しんしょ
足場	あしば
車体	しゃたい
近海	きんかい
中元	ちゅうげん
前文	ぜんぶん
同数	どうすう
回帰	かいき
園長	えんちょう
地中	ちちゅう
地名	ちめい
地形	ちけい
天体	てんたい
小売	こうり
心地	ここち
手話	しゅわ
文楽	ぶんらく
新書	しんしょ
方言	ほうげん
明記	めいき
王朝	おうちょう
細工	さいく
自室	じしつ
自家	じか
見地	けんち
親交	しんこう
親友	しんゆう
野中	のなか
野心	やしん
門戸	もんこ
風船	ふうせん
一分	いちぶ
万里	ばんり
二分	にぶん
会心	かいしん
公子	こうし
公言	こうげん
内心	ないしん
前方	ぜんぽう
北上	ほくじょう
合作	がっさく
同名	どうめい
外見	がいけん
岩間	いわま
後手	ごて
心中	しんじゅう
教頭	きょうとう
新体	しんたい
木場	きば
本家	ほんけ
本線	ほんせん
正体	しょうたい
火星	かせい
用水	ようすい
白鳥	はくちょう
直下	ちょっか
矢先	やさき
茶色	ちゃいろ
親切	しんせつ
記入	きにゅう
足首	あしくび
道場	どうじょう
里子	さとご
野手	やしゅ
音色	ねいろ
音頭	おんど
高地	こうち
中高	ちゅうこう
作風	さくふう
公海	こうかい
公用	こうよう
冬場	ふゆば
前週	ぜんしゅう
力点	りきてん
半月	はんげつ
半生	はんせい
原人	げんじん
古今	ここん
古紙	こし
合図	あいず
名画	めいが
売店	ばいてん
大道	だいどう
市道	しどう
強大	きょうだい
手記	しゅき
新春	しんしゅん
新米	しんまい
書家	しょか
歌声	うたごえ
画一	かくいつ
白馬	はくば
社外	しゃがい
立国	りっこく
米人	べいじん
船体	せんたい
船出	ふなで
車線	しゃせん
顔色	かおいろ
食道	しょくどう
高見	こうけん
黒星	くろぼし
一新	いっしん
下地	したじ
光線	こうせん
入園	にゅうえん
半日	はんにち
合金	ごうきん
声高	こわだか
夜空	よぞら
大雪	おおゆき
天地	てんち
山野	さんや
工科	こうか
引用	いんよう
弱気	よわき
後日	ごじつ
文教	ぶんきょう
新星	しんせい
明言	めいげん
昼夜	ちゅうや
月内	げつない
本数	ほんすう
正教	せいきょう
海道	かいどう
父子	ふし
理工	りこう
生理	せいり
算数	さんすう
花形	はながた
語気	ごき
谷間	たにま
金星	きんぼし
電線	でんせん
黒木	くろき
万国	ばんこく
上京	じょうきょう
交番	こうばん
人心	じんしん
今夜	こんや
休場	きゅうじょう
体形	たいけい
何百	なんびゃく
元来	がんらい
公文	こうぶん
出走	しゅっそう
前頭	まえがしら
同船	どうせん
回生	かいせい
大店	おおだな
大船	おおぶね
室町	むろまち
小鳥	ことり
