野草	やそう
長大	ちょうだい
青色	あおいろ
頭数	あたまかず
風車	ふうしゃ
高下	こうげ
一声	いっせい
一語	いちご
元金	がんきん
光年	こうねん
入来	にゅうらい
公道	こうどう
北山	きたやま
半田	はんだ
原色	げんしょく
名言	めいげん
図画	ずが
国文	こくぶん
夜行	やこう
字書	じしょ
引当	ひきあて
後年	こうねん
新月	しんげつ
新顔	しんがお
早春	そうしゅん
早計	そうけい
明星	みょうじょう
星雲	せいうん
毛糸	けいと
番外	ばんがい
目線	めせん
知見	ちけん
肉食	にくしょく
自首	じしゅ
記名	きめい
走力	そうりょく
九分	くぶ
先高	さきだか
南下	なんか
口数	くちかず
外気	がいき
多目	おおめ
太古	たいこ
学外	がくがい
岩場	いわば
方角	ほうがく
春風	はるかぜ
時空	じくう
気体	きたい
町会	ちょうかい
番頭	ばんとう
白昼	はくちゅう
米作	べいさく
西北	せいほく
親王	しんのう
読本	とくほん
遠方	えんぽう
門出	かどで
馬力	ばりき
高音	こうおん
一戸	いっこ
人家	じんか
体外	たいがい
元手	もとで
分科	ぶんか
口語	こうご
台場	だいば
台紙	だいし
外電	がいでん
女体	にょたい
山里	やまざと
年長	ねんちょう
弱火	よわび
弱音	よわね
強国	きょうこく
来場	らいじょう
母方	ははかた
毎分	まいふん
気風	きふう
水色	みずいろ
用心	ようじん
百科	ひゃっか
細道	ほそみち
船頭	せんどう
茶番	ちゃばん
見聞	けんぶん
親心	おやごころ
電算	でんそろ
風雨	ふうう
一矢	いっし
三色	さんしょく
人里	ひとざと
千秋	せんしゅう
原木	げんぼく
地場	じば
地金	じがね
学理	がくり
山門	さんもん
広角	こうかく
数十	すうじゅう
気心	きごころ
海原	うなばら
海草	かいそう
王家	おうけ
番人	ばんにん
直言	ちょくげん
社風	しゃふう
秋風	あきかぜ
船首	せんしゅ
茶会	ちゃかい
行間	ぎょうかん
遠心	えんしん
風上	かざかみ
二元	にげん
六角	ろっかく
大海	たいかい
太字	ふとじ
字体	じたい
学友	がくゆう
家中	うちじゅう
山元	やまもと
手数	てすう
数理	すうり
日用	にちよう
時分	じぶん
木地	きじ
歩数	ほすう
毛頭	もうとう
汽船	きせん
点火	てんか
白夜	びゃくや
白米	はくまい
空室	くうしつ
米食	べいしょく
絵図	えず
赤毛	あかげ
通気	つうき
風雪	ふうせつ
高名	こうめい
一風	いっぷう
下絵	したえ
公家	くげ
出色	しゅっしょく
分会	ぶんかい
四角	しかく
国光	こっこう
土間	どま
夜半	やはん
大麦	おおむぎ
天明	てんめい
岩戸	いわと
年少	ねんしょう
日直	にっちょく
早道	はやみち
本元	ほんもと
白雪	しらゆき
直立	ちょくりつ
絵馬	えま
道中	どうちゅう
長兄	ちょうけい
雪道	ゆきみち
風下	かざしも
風雲	ふううん
黒船	くろふね
下記	かき
今時	いまどき
内地	ないち
出社	しゅっしゃ
半紙	はんし
地学	ちがく
多年	たねん
小魚	こざかな
市会	しかい
弱小	じゃくしょう
後記	こうき
生来	せいらい
目算	もくさん
自生	じせい
草地	くさち
草食	そうしょく
親鳥	おやどり
通用	つうよう
長文	ちょうぶん
頭金	あたまきん
一理	いちり
五色	ごしき
冬山	ふゆやま
出自	しゅつじ
前言	ぜんげん
原書	げんしょ
合算	がっさん
名分	めいぶん
土星	どせい
外米	がいまい
夜食	やしょく
大刀	だいとう
大食	たいしょく
太白	たいはく
小作	こさく
手近	てぢか
数千	すうせん
明文	めいぶん
時雨	しぐれ
木馬	もくば
東国	とうごく
気道	きどう
火元	ひもと
社用	しゃよう
肉牛	にくぎゅう
西日	にしび
言明	げんめい
雲水	うんすい
黒白	くろしろ
一考	いっこう
三食	さんしょく
下馬	げば
人魚	にんぎょ
分家	ぶんけ
原語	げんご
古米	こまい
同文	どうぶん
名家	めいか
国風	こくふう
家長	かちょう
小食	しょうしょく
弟妹	ていまい
文理	ぶんり
文語	ぶんご
林間	りんかん
毛虫	けむし
直角	ちょっかく
竹刀	しない
細見	さいけん
西風	にしかぜ
間食	かんしょく
雨雲	あまぐも
雪原	せつげん
雪山	ゆきやま
高年	こうねん
二食	にしょく
分室	ぶんしつ
原石	げんせき
古木	こぼく
多用	たよう
寺社	じしゃ
川魚	かわうお
形見	かたみ
戸口	とぐち
新地	しんち
朝見	ちょうけん
歩合	ぶあい
水星	すいせい
水門	すいもん
海図	かいず
男声	だんせい
画風	がふう
社中	しゃちゅう
線形	せんけい
行人	こうじん
言外	げんがい
近東	きんとう
野犬	やけん
雨戸	あまど
三春	さんしゅん
南中	なんちゅう
古手	ふるて
夏山	なつやま
夜道	よみち
太刀	たち
小言	こごと
小道	こみち
当夜	とうや
春分	しゅんぶん
本船	ほんせん
本道	ほんどう
校外	こうがい
楽天	らくてん
気前	きまえ
水牛	すいぎゅう
白線	はくせん
立春	りっしゅん
耳元	みみもと
言行	げんこう
道教	どうきょう
野道	のみち
長生	ちょうせい
鳴子	なるこ
黒地	くろじ
五線	ごせん
内国	ないこく
前科	ぜんか
右方	うほう
合点	がてん
名馬	めいば
国教	こっきょう
女声	じょせい
山国	やまぐに
山寺	やまでら
広野	こうや
店番	みせばん
弓道	きゅうどう
引力	いんりょく
強火	つよび
教学	きょうがく
書画	しょが
木刀	ぼくとう
本分	ほんぶん
東風	こち
気弱	きよわ
算入	さんにゅう
線画	せんが
船室	せんしつ
遠出	とおで
間数	けんすう
雨後	うご
雪上	せつじょう
電工	でんこう
風前	ふうぜん
馬肉	ばにく
一読	いちどく
七色	なないろ
二色	にしょく
入交	いりまじり
公電	こうでん
国書	こくしょ
外形	がいけい
多雨	たう
天台	てんだい
小春	こはる
心室	しんしつ
正答	せいとう
気長	きなが
花鳥	かちょう
野人	やじん
門外	もんがい
雲母	うんも
電文	でんぶん
馬頭	めず
黄海	こうかい
公会	こうかい
切羽	きりは
古語	こご
同色	どうしょく
夜話	やわ
家来	けらい
家父	かふ
小心	しょうしん
書生	しょせい
月食	げっしょく
朝市	あさいち
毎時	まいじ
父方	ちちかた
番茶	ばんちゃ
谷地	やち
遠近	えんきん
長子	ちょうし
風見	かざみ
食前	しょくぜん
黒山	くろやま
丸木	まるき
丸顔	まるがお
何分	なにぶん
作歌	さっか
内耳	ないじ
分母	ぶんぼ
前足	まえあし
力走	りきそう
半円	はんえん
台形	だいけい
同心	どうしん
広言	こうげん
広間	ひろま
才気	さいき
方形	ほうけい
春雨	はるさめ
村会	そんかい
校風	こうふう
母船	ぼせん
海風	かいふう
知力	ちりょく
社寺	しゃじ
草紙	そうし
通風	つうふう
高点	こうてん
一書	いっしょ
中秋	ちゅうしゅう
今風	いまふう
作画	さくが
出家	しゅっけ
名歌	めいか
声色	こわいろ
外用	がいよう
子細	しさい
小話	こばなし
小雪	こゆき
弓矢	ゆみや
教本	きょうほん
新茶	しんちゃ
校友	こうゆう
海女	あま
