番地	ばんち
立方	たちかた
自体	じたい
車台	しゃだい
近来	きんらい
遠大	えんだい
風光	ふうこう
黒点	こくてん
一画	いっかく
下戸	げこ
五体	ごたい
古寺	こじ
名店	めいてん
図工	ずこう
夏日	なつび
小刀	こがたな
月夜	つきよ
月形	つきがた
本科	ほんか
番犬	ばんけん
遠目	とおめ
門番	もんばん
馬上	ばじょう
一刀	いっとう
今夕	こんせき
兄姉	けいし
土用	どよう
売名	ばいめい
大公	たいこう
店子	たなこ
新道	しんどう
正室	せいしつ
母音	ぼいん
牛車	ぎゅうしゃ
田楽	でんがく
自活	じかつ
草書	そうしょ
言下	げんか
一週	いっしゅう
入室	にゅうしつ
口角	こうかく
同上	どうじょう
川風	かわかぜ
左方	さほう
引火	いんか
心頭	しんとう
書林	しょりん
活魚	かつぎょ
海山	うみやま
理数	りすう
用金	ようきん
町家	まちや
立食	りっしょく
茶店	ちゃみせ
丸本	まるぼん
二言	にごん
冬鳥	ふゆどり
前場	ぜんば
前山	ぜんざん
同門	どうもん
売人	ばいにん
多才	たさい
多色	たしょく
夜会	やかい
家名	かめい
新雪	しんせつ
日計	にっけい
明月	めいげつ
用船	ようせん
白雲	しらくも
親玉	おやだま
遠来	えんらい
金工	きんこう
雪中	せっちゅう
食通	しょくつう
麦茶	むぎちゃ
黒鳥	こくちょう
三体	さんたい
中肉	ちゅうにく
分売	ぶんばい
原紙	げんし
国元	くにもと
国花	こっか
場数	ばかず
夏草	なつくさ
夜学	やがく
山家	やまが
山海	さんかい
明年	みょうねん
歌心	うたごころ
秋水	しゅうすい
細雪	ささめゆき
行書	ぎょうしょ
高空	こうくう
鳥人	ちょうじん
黒土	こくど
下心	したごころ
入船	にゅうせん
内気	うちき
前門	ぜんもん
古文	こぶん
市電	しでん
弱虫	よわむし
才人	さいじん
明朝	みょうちょう
時日	じじつ
歌会	うたかい
牛馬	ぎゅうば
画数	かくすう
百聞	ひゃくぶん
直売	ちょくばい
角地	かどち
語数	ごすう
赤地	あかじ
赤紙	あかがみ
雲海	うんかい
魚肉	ぎょにく
一台	いちだい
七時	しちじ
万人	ばんにん
万引	まんびき
三回	さんかい
上海	シャンハイ
二回	にかい
今一	いまいち
何年	なんねん
何方	どなた
何日	なんにち
何時	なんじ
入会	にゅうかい
分数	ぶんすう
分間	ふんかん
北米	ほくべい
同音	どうおん
四国	しこく
四時	よじ
回目	かいめ
売上	うりあげ
大声	おおごえ
字引	じびき
字画	じかく
小数	しょうすう
川原	かわら
年後	ねんご
店名	てんめい
引金	ひきがね
当店	とうてん
後書	あとがき
手引	てびき
数人	すうにん
数分	すうふん
数回	すうかい
数年	すうねん
父兄	ふけい
町角	まちかど
番目	ばんめ
目方	めかた
目黒	めぐろ
石頭	いしあたま
秋分	しゅうぶん
空地	くうち
買手	かいて
近日	きんじつ
道草	みちくさ
長話	ながばなし
音読	おんどく
入店	にゅうてん
国電	こくでん
一部	いちぶ
世界	せかい
両国	りょうこく
