学院	がくいん
安打	あんだ
定員	ていいん
対外	たいがい
対決	たいけつ
局面	きょくめん
心配	しんぱい
悪化	あっか
意外	いがい
感想	かんそう
打者	だしゃ
投球	とうきゅう
早急	そうきゅう
昭和	しょうわ
東洋	とうよう
植物	しょくぶつ
次長	じちょう
正面	しょうめん
注意	ちゅうい
注文	ちゅうもん
球場	きゅうじょう
生物	せいぶつ
画面	がめん
発想	はっそう
発見	はっけん
県立	けんりつ
短期	たんき
自動	じどう
表面	ひょうめん
読者	どくしゃ
車両	しゃりょう
農村	のうそん
農薬	のうやく
通商	つうしょう
配分	はいぶん
重点	じゅうてん
開会	かいかい
高級	こうきゅう
一階	いっかい
三役	さんやく
下落	げらく
世話	せわ
両者	りょうしゃ
中島	なかじま
主人	しゅじん
主役	しゅやく
主流	しゅりゅう
九州	きゅうしゅう
二度	にど
二階	にかい
人員	じんいん
他人	たにん
代金	だいきん
体重	たいじゅう
公表	こうひょう
出発	しゅっぱつ
前期	ぜんき
半面	はんめん
商店	しょうてん
大和	やまと
安心	あんしん
定年	ていねん
対米	たいべい
形式	けいしき
意図	いと
所有	しょゆう
指数	しすう
整理	せいり
文庫	ぶんこ
文章	ぶんしょう
死去	しきょ
気温	きおん
海岸	かいがん
海洋	かいよう
理想	りそう
用意	ようい
発電	はつでん
登場	とうじょう
直面	ちょくめん
真相	しんそう
着実	ちゃくじつ
短大	たんだい
神社	じんじゃ
終日	しゅうじつ
行事	ぎょうじ
調子	ちょうし
談合	だんごう
走者	そうしゃ
路上	ろじょう
速球	そっきゅう
都心	としん
配当	はいとう
院長	いんちょう
頭取	とうどり
一面	いちめん
世間	せけん
中期	ちゅうき
中部	ちゅうぶ
二次	にじ
二重	にじゅう
体調	たいちょう
作者	さくしゃ
先住	せんじゅう
全身	ぜんしん
出荷	しゅっか
列島	れっとう
前進	ぜんしん
前面	ぜんめん
助手	じょしゅ
医者	いしゃ
古代	こだい
同意	どうい
商売	しょうばい
国鉄	こくてつ
外部	がいぶ
実用	じつよう
家事	かじ
小島	こじま
屋根	やね
役所	やくしょ
後期	こうき
感動	かんどう
打開	だかい
教員	きょういん
方面	ほうめん
本物	ほんもの
東部	とうぶ
根本	こんぽん
次回	じかい
死体	したい
死後	しご
気配	けはい
水面	すいめん
流出	りゅうしゅつ
流行	りゅうこう
温度	おんど
発注	はっちゅう
登山	とざん
登校	とうこう
西部	せいぶ
詩人	しじん
調書	ちょうしょ
身長	しんちょう
近所	きんじょ
追放	ついほう
進学	しんがく
進路	しんろ
都会	とかい
飲食	いんしょく
駅前	えきまえ
高度	こうど
高等	こうとう
高速	こうそく
一員	いちいん
一流	いちりゅう
一発	いっぱつ
両方	りょうほう
両面	りょうめん
他国	たこく
休業	きゅうぎょう
使命	しめい
具合	ぐあい
円安	えんやす
区間	くかん
医大	いだい
台所	だいどころ
合宿	がっしゅく
商工	しょうこう
回転	かいてん
大物	おおもの
実家	じっか
平等	びょうどう
年代	ねんだい
店員	てんいん
役者	やくしゃ
文相	ぶんしょう
時速	じそく
様相	ようそう
水泳	すいえい
流動	りゅうどう
漢字	かんじ
生息	せいそく
用品	ようひん
直球	ちょっきゅう
真実	しんじつ
短歌	たんか
神宮	じんぐう
究明	きゅうめい
筆頭	ひっとう
談話	だんわ
農地	のうち
農林	のうりん
農相	のうしょう
速度	そくど
進歩	しんぽ
進行	しんこう
運命	うんめい
道具	どうぐ
部員	ぶいん
都合	つごう
都立	とりつ
階級	かいきゅう
集計	しゅうけい
両手	りょうて
