動作	どうさ
区分	くぶん
区画	くかく
医局	いきょく
医院	いいん
名物	めいぶつ
和紙	わし
商談	しょうだん
定住	ていじゅう
実体	じったい
対談	たいだん
屋外	おくがい
年始	ねんし
年配	ねんぱい
庭園	ていえん
弱者	じゃくしゃ
強打	きょうだ
後部	こうぶ
急落	きゅうらく
所定	しょてい
投下	とうか
整合	せいごう
明暗	めいあん
林業	りんぎょう
歌曲	かきょく
歯科	しか
死球	しきゅう
用具	ようぐ
発着	はっちゃく
着目	ちゃくもく
算定	さんてい
細部	さいぶ
自助	じじょ
表記	ひょうき
詩集	ししゅう
車庫	しゃこ
重体	じゅうたい
重力	じゅうりょく
開港	かいこう
集落	しゅうらく
一様	いちよう
三度	さんど
世銀	せぎん
二院	にいん
代人	だいにん
先決	せんけつ
全社	ぜんしゃ
内面	ないめん
前者	ぜんしゃ
力投	りきとう
受章	じゅしょう
口実	こうじつ
商人	しょうにん
図式	ずしき
大豆	だいず
天使	てんし
子宮	しきゅう
実名	じつめい
宿題	しゅくだい
対岸	たいがん
山陽	さんよう
州都	しゅうと
当事	とうじ
当期	とうき
打力	だりょく
放出	ほうしゅつ
数次	すうじ
書面	しょめん
植林	しょくりん
水銀	すいぎん
決起	けっき
海面	かいめん
消火	しょうか
温室	おんしつ
物事	ものごと
球界	きゅうかい
病室	びょうしつ
登記	とうき
神楽	かぐら
神父	しんぷ
緑地	りょくち
転落	てんらく
通路	つうろ
運行	うんこう
開店	かいてん
青葉	あおば
題名	だいめい
三部	さんぶ
上期	かみき
下流	かりゅう
主食	しゅしょく
体温	たいおん
何者	なにもの
先取	せんしゅ
公使	こうし
出世	しゅっせ
勝者	しょうしゃ
反米	はんべい
古都	こと
同調	どうちょう
和歌	わか
和風	わふう
品物	しなもの
問屋	とんや
地主	じぬし
地表	ちひょう
客員	きゃくいん
客室	きゃくしつ
宿命	しゅくめい
対面	たいめん
強度	きょうど
後世	こうせい
悪口	わるぐち
想定	そうてい
書物	しょもつ
有事	ゆうじ
有線	ゆうせん
本命	ほんめい
本館	ほんかん
毛皮	けがわ
水深	すいしん
水着	みずぎ
海運	かいうん
病理	びょうり
相対	あいたい
真夏	まなつ
着用	ちゃくよう
石神	しゃくじん
緑色	みどりいろ
見物	けんぶつ
記号	きごう
起草	きそう
進化	しんか
長身	ちょうしん
開通	かいつう
館内	かんない
一級	いっきゅう
世相	せそう
両足	りょうあし
乗車	じょうしゃ
