代役	だいやく
使者	ししゃ
全曲	ぜんきょく
公定	こうてい
医薬	いやく
命中	めいちゅう
坂道	さかみち
大根	だいこん
子役	こやく
学業	がくぎょう
実数	じっすう
対向	たいこう
対地	たいち
川岸	かわぎし
帰化	きか
平地	へいち
平行	へいこう
年表	ねんぴょう
当落	とうらく
文具	ぶんぐ
文様	もんよう
昔話	むかしばなし
本島	ほんとう
東都	とうと
根気	こんき
楽屋	がくや
洋楽	ようがく
相乗	そうじょう
神学	しんがく
等身	とうしん
自筆	じひつ
色調	しきちょう
角界	かくかい
負荷	ふか
転出	てんしゅつ
配線	はいせん
酒場	さかば
長調	ちょうちょう
開場	かいじょう
陽気	ようき
電球	でんきゅう
風習	ふうしゅう
一丁	いっちょう
一両	いちりょう
一助	いちじょ
一式	いっしき
主筆	しゅひつ
主計	しゅけい
九重	ここのえ
二号	にごう
先安	さきやす
八丁	はっちょう
内実	ないじつ
出港	しゅっこう
分乗	ぶんじょう
分身	ぶんしん
前部	ぜんぶ
半期	はんき
君子	くんし
和牛	わぎゅう
外洋	がいよう
学区	がっく
定食	ていしょく
実相	じっそう
小品	しょうひん
小指	こゆび
島内	とうない
度数	どすう
意表	いひょう
投薬	とうやく
新緑	しんりょく
旅先	たびさき
月面	げつめん
服用	ふくよう
楽章	がくしょう
洋酒	ようしゅ
港内	こうない
王族	おうぞく
発光	はっこう
着地	ちゃくち
短調	たんちょう
苦心	くしん
遊歩	ゆうほ
配役	はいやく
配本	はいほん
酒屋	さかや
酒店	さかだな
金具	かなぐ
金品	きんぴん
開国	かいこく
開校	かいこう
陽光	ようこう
題字	だいじ
高所	こうしょ
高波	たかなみ
一着	いっちゃく
一身	いっしん
万事	ばんじ
仕業	しわざ
休息	きゅうそく
半身	はんしん
受理	じゅり
商会	しょうかい
大勝	たいしょう
実兄	じっけい
実地	じっち
急死	きゅうし
感度	かんど
時流	じりゅう
書院	しょいん
横線	おうせん
横行	おうこう
横転	おうてん
次点	じてん
波長	はちょう
漢方	かんぽう
物心	ものごころ
画商	がしょう
発声	はっせい
発火	はっか
発育	はついく
県下	けんか
秒速	びょうそく
空想	くうそう
自他	じた
自決	じけつ
進入	しんにゅう
鉄工	てっこう
銀色	ぎんいろ
長屋	ながや
面談	めんだん
馬主	うまぬし
鼻息	はないき
一曲	いっきょく
入荷	にゅうか
全学	ぜんがく
公有	こうゆう
反落	はんらく
号車	ごうしゃ
合板	ごうはん
同病	どうびょう
定休	ていきゅう
実子	じっし
小豆	あずき
式部	しきぶ
悪人	あくにん
投石	とうせき
木炭	もくたん
注入	ちゅうにゅう
洋食	ようしょく
炭田	たんでん
病弱	びょうじゃく
発送	はっそう
真上	まうえ
真顔	まがお
社屋	しゃおく
終点	しゅうてん
緑茶	りょくちゃ
船主	せんしゅ
記帳	きちょう
起工	きこう
身近	みぢか
配電	はいでん
電化	でんか
一息	ひといき
一昔	ひとむかし
一転	いってん
体面	たいめん
全店	ぜんてん
内局	ないきょく
冬物	ふゆもの
古物	こぶつ
品名	ひんめい
地代	ちだい
夏物	なつもの
天童	てんどう
始動	しどう
実母	じつぼ
寒風	かんぷう
左岸	さがん
平原	へいげん
年号	ねんごう
当主	とうしゅ
後味	あとあじ
悪者	わるもの
想起	そうき
指図	さしず
旅人	たびびと
横顔	よこがお
母港	ぼこう
洋風	ようふう
流氷	りゅうひょう
用事	ようじ
発車	はっしゃ
直感	ちょっかん
矢面	やおもて
等級	とうきゅう
緑風	りょくふう
美男	びなん
薬用	やくよう
薬草	やくそう
転入	てんにゅう
転送	てんそう
遊休	ゆうきゅう
開園	かいえん
風化	ふうか
魚屋	さかなや
三流	さんりゅう
五感	ごかん
代書	だいしょ
写生	しゃせい
列記	れっき
助走	じょそう
北洋	ほくよう
同族	どうぞく
名品	めいひん
商船	しょうせん
図表	ずひょう
地酒	じざけ
外界	がいかい
大波	おおなみ
大部	たいぶ
女医	じょい
対人	たいじん
工具	こうぐ
庭先	にわさき
強調	きょうちょう
急病	きゅうびょう
悪玉	あくだま
文集	ぶんしゅう
新館	しんかん
時局	じきょく
死生	しせい
死語	しご
気品	きひん
流星	りゅうせい
生身	なまみ
真冬	まふゆ
福音	ふくいん
終業	しゅうぎょう
絵筆	えふで
船旅	ふなたび
速記	そっき
遊泳	ゆうえい
道化	どうけ
遠洋	えんよう
部外	ぶがい
鉄橋	てっきょう
開所	かいしょ
館員	かんいん
一服	いっぷく
一礼	いちれい
予見	よけん
事由	じゆう
二葉	によう
反目	はんもく
右岸	うがん
合流	ごうりゅう
同列	どうれつ
商科	しょうか
国事	こくじ
大祭	たいさい
大農	だいのう
実父	じっぷ
室温	しつおん
小路	こうじ
帰路	きろ
悪意	あくい
打電	だでん
指南	しなん
書式	しょしき
板前	いたまえ
死期	しき
毎秒	まいびょう
毛筆	もうひつ
海事	かいじ
物色	ぶっしょく
球速	きゅうそく
直筆	じきひつ
直送	ちょくそう
県会	けんかい
真下	ました
着色	ちゃくしょく
短所	たんしょ
神事	しんじ
級友	きゅうゆう
羊毛	ようもう
落日	らくじつ
語感	ごかん
買取	かいとり
起立	きりつ
身代	しんだい
転校	てんこう
遊女	ゆうじょ
配点	はいてん
金平	きんぴら
金銀	きんぎん
題目	だいもく
一列	いちれつ
一皮	ひとかわ
一路	いちろ
主事	しゅじ
乗船	じょうせん
交配	こうはい
列強	れっきょう
前庭	ぜんてい
勉学	べんがく
勝算	しょうさん
号外	ごうがい
土着	どちゃく
地平	ちへい
大局	たいきょく
平屋	ひらや
手品	てじな
新味	しんみ
書写	しょしゃ
本意	ほんい
正味	しょうみ
死守	ししゅ
洋品	ようひん
海流	かいりゅう
炭化	たんか
球形	きゅうけい
発会	はっかい
短波	たんぱ
細身	ほそみ
習字	しゅうじ
行商	ぎょうしょう
農工	のうこう
送受	そうじゅ
重病	じゅうびょう
三曲	さんきょく
中和	ちゅうわ
主教	しゅきょう
主文	しゅぶん
代走	だいそう
写実	しゃじつ
同化	どうか
同和	どうわ
実写	じっしゃ
実話	じつわ
宿直	しゅくちょく
年祭	ねんさい
強者	きょうしゃ
悪女	あくじょ
悲運	ひうん
打算	ださん
整形	せいけい
楽勝	らくしょう
気流	きりゅう
波風	なみかぜ
消長	しょうちょう
深化	しんか
漢文	かんぶん
漢詩	かんし
生薬	しょうやく
真田	さなだ
終電	しゅうでん
美化	びか
自重	じじゅう
返品	へんぴん
運休	うんきゅう
重文	じゅうぶん
鉄分	てつぶん
鉄線	てっせん
一倍	いちばい
一味	いちみ
丁重	ていちょう
人波	ひとなみ
代筆	だいひつ
円柱	えんちゅう
写本	しゃほん
受動	じゅどう
回遊	かいゆう
大所	おおどころ
大昔	おおむかし
学事	がくじ
安直	あんちょく
実直	じっちょく
寒波	かんぱ
小事	しょうじ
山路	やまじ
川面	かわも
平気	へいき
急場	きゅうば
文物	ぶんぶつ
文筆	ぶんぴつ
新調	しんちょう
日和	ひより
春陽	しゅんよう
次週	じしゅう
母屋	おもや
水流	すいりゅう
決行	けっこう
流水	りゅうすい
消去	しょうきょ
深部	しんぶ
湖岸	こがん
物見	ものみ
目次	もくじ
