社主	しゃしゅ
美声	びせい
自問	じもん
転化	てんか
軽度	けいど
農学	のうがく
長命	ちょうめい
駅頭	えきとう
一命	いちめい
両家	りょうけ
二者	にしゃ
交遊	こうゆう
人相	にんそう
何物	なにもの
元帳	もとちょう
分流	ぶんりゅう
前列	ぜんれつ
原題	げんだい
回送	かいそう
外注	がいちゅう
寒天	かんてん
岩屋	いわや
帰着	きちゃく
意中	いちゅう
旅路	たびじ
書庫	しょこ
本局	ほんきょく
村落	そんらく
死角	しかく
海路	かいろ
球根	きゅうこん
白身	しろみ
皮下	ひか
答礼	とうれい
美食	びしょく
肉筆	にくひつ
苦楽	くらく
落着	らくちゃく
血行	けっこう
行者	ぎょうじゃ
詩作	しさく
起業	きぎょう
農道	のうどう
返書	へんしょ
両様	りょうよう
全開	ぜんかい
医事	いじ
和洋	わよう
品数	しなかず
外局	がいきょく
大安	たいあん
天命	てんめい
対内	たいない
対流	たいりゅう
川路	かわじ
当世	とうせい
当代	とうだい
悪事	あくじ
感知	かんち
暗記	あんき
暗転	あんてん
有形	ゆうけい
服地	ふくじ
朝礼	ちょうれい
洋弓	ようきゅう
洋間	ようま
温和	おんわ
湖水	こすい
画業	がぎょう
真心	まごころ
社業	しゃぎょう
神代	かみよ
自転	じてん
親身	しんみ
身軽	みがる
開門	かいもん
音波	おんぱ
風物	ふうぶつ
駅長	えきちょう
鼻水	はなみず
三面	さんめん
下品	げひん
中指	なかゆび
二流	にりゅう
係数	けいすう
全島	ぜんとう
全戸	ぜんこ
助力	じょりょく
南洋	なんよう
商家	しょうか
国定	こくてい
大全	たいぜん
学究	がっきゅう
安楽	あんらく
定点	ていてん
客車	きゃくしゃ
心血	しんけつ
所員	しょいん
所期	しょき
整列	せいれつ
有終	ゆうしゅう
毎度	まいど
水球	すいきゅう
洋式	ようしき
流体	りゅうたい
湯気	ゆげ
物音	ものおと
球体	きゅうたい
礼金	れいきん
等分	とうぶん
米屋	こめや
羊水	ようすい
落石	らくせき
軽口	かるくち
一対	いっつい
下味	したあじ
予科	よか
内向	ないこう
内宮	ないくう
列国	れっこく
口笛	くちぶえ
古式	こしき
名勝	めいしょう
和合	わごう
和名	わめい
和文	わぶん
多感	たかん
平方	へいほう
平生	へいぜい
所感	しょかん
放言	ほうげん
数式	すうしき
横丁	よこちょう
次男	じなん
汽笛	きてき
流木	りゅうぼく
着想	ちゃくそう
礼服	れいふく
神風	かみかぜ
美談	びだん
薬味	やくみ
重箱	じゅうばこ
鉄人	てつじん
飲用	いんよう
上意	じょうい
作詩	さくし
内助	ないじょ
助長	じょちょう
大乗	だいじょう
宮家	みやけ
寒村	かんそん
局所	きょくしょ
局部	きょくぶ
形相	ぎょうそう
戸板	といた
新開	しんかい
校章	こうしょう
死海	しかい
氷原	ひょうげん
決死	けっし
深度	しんど
畑地	はたち
真横	まよこ
祭礼	さいれい
童顔	どうがん
荷役	にやく
表土	ひょうど
西遊	せいゆう
赤身	あかみ
予習	よしゅう
入部	にゅうぶ
化身	けしん
大味	おおあじ
大福	だいふく
客用	きゃくよう
家路	いえじ
対校	たいこう
帰港	きこう
平板	へいばん
急流	きゅうりゅう
早速	さっそく
氷室	ひむろ
波間	なみま
洋書	ようしょ
白銀	はくぎん
祭神	さいじん
童子	どうじ
童心	どうしん
親和	しんわ
速足	はやあし
進級	しんきゅう
配下	はいか
配色	はいしょく
電荷	でんか
面前	めんぜん
馬身	ばしん
鼻血	はなぢ
万世	ばんせい
九死	きゅうし
事物	じぶつ
五重	いつえ
今昔	こんじゃく
他意	たい
先勝	せんしょう
具申	ぐしん
前世	ぜんせい
安住	あんじゅう
実妹	じつまい
平手	ひらて
感服	かんぷく
所作	しょさ
所用	しょよう
教主	きょうしゅ
新酒	しんしゅ
木部	もくぶ
来世	らいせ
板金	ばんきん
横道	よこみち
歯形	はがた
波動	はどう
漢語	かんご
自習	じしゅう
花畑	はなばたけ
表皮	ひょうひ
転生	てんせい
軽食	けいしょく
返礼	へんれい
遊山	ゆさん
配車	はいしゃ
野宿	のじゅく
金物	かなもの
階下	かいか
集配	しゅうはい
麦畑	むぎばたけ
両名	りょうめい
中波	ちゅうは
予行	よこう
代読	だいどく
全市	ぜんし
動転	どうてん
同根	どうこん
夏服	なつふく
外面	がいめん
定石	じょうせき
屋号	やごう
市有	しゆう
悪習	あくしゅう
教区	きょうく
曲面	きょくめん
洋紙	ようし
洋館	ようかん
活写	かっしゃ
畑作	はたさく
病原	びょうげん
病根	びょうこん
登院	とういん
目薬	めぐすり
直列	ちょくれつ
着服	ちゃくふく
神主	かんぬし
神体	しんたい
神前	しんぜん
筆名	ひつめい
羊肉	ようにく
薬指	くすりゆび
詩文	しぶん
調合	ちょうごう
車代	くるまだい
軽重	けいちょう
近県	きんけん
進取	しんしゅ
進言	しんげん
音階	おんかい
黄緑	きみどり
一筆	いっぴつ
丁目	ちょうめ
主語	しゅご
元号	げんごう
全館	ぜんかん
分院	ぶんいん
前歯	まえば
名代	みょうだい
安息	あんそく
宿主	しゅくしゅ
宿場	しゅくば
平定	へいてい
庭球	ていきゅう
整地	せいち
時世	じせい
炭火	すみび
画題	がだい
県人	けんじん
真昼	まひる
神明	しんめい
神童	しんどう
童画	どうが
美味	びみ
美酒	びしゅ
苦虫	にがむし
落第	らくだい
身重	みおも
転写	てんしゃ
返金	へんきん
速読	そくどく
院生	いんせい
音曲	おんぎょく
風向	ふうこう
黄身	きみ
鼻歌	はなうた
一物	いちもつ
上代	じょうだい
上役	うわやく
前代	ぜんだい
半球	はんきゅう
去来	きょらい
和声	わせい
四面	しめん
地所	じしょ
安物	やすもの
小曲	しょうきょく
役名	やくめい
後宮	こうきゅう
急所	きゅうしょ
急追	きゅうつい
放電	ほうでん
整体	せいたい
新式	しんしき
直流	ちょくりゅう
真正	しんせい
真水	まみず
短文	たんぶん
美名	びめい
路頭	ろとう
追分	おいわけ
追究	ついきゅう
送風	そうふう
酒気	しゅき
開山	かいさん
面相	めんそう
万物	ばんぶつ
中葉	ちゅうよう
予後	よご
商号	しょうごう
外宮	げくう
子守	こもり
局番	きょくばん
工面	くめん
平明	へいめい
後列	こうれつ
族長	ぞくちょう
本題	ほんだい
氷水	こおりみず
洋学	ようがく
流会	りゅうかい
流転	るてん
消音	しょうおん
生業	なりわい
病身	びょうしん
直進	ちょくしん
知育	ちいく
筆談	ひつだん
終生	しゅうせい
羽化	うか
苦行	くぎょう
調味	ちょうみ
遠投	えんとう
電送	でんそう
風流	ふうりゅう
一事	いちじ
両用	りょうよう
他店	たてん
光速	こうそく
宿屋	やどや
小皿	こざら
悪用	あくよう
暑中	しょちゅう
村有	そんゆう
板紙	いたがみ
死線	しせん
気化	きか
泳者	えいしゃ
海港	かいこう
深長	しんちょう
火柱	ひばしら
肉屋	にくや
花期	かき
薬理	やくり
表出	ひょうしゅつ
進水	しんすい
開運	かいうん
馬具	ばぐ
万感	ばんかん
上等	じょうとう
内発	ないはつ
十指	じっし
向後	こうご
夜曲	やきょく
始終	しじゅう
実学	じつがく
客人	きゃくじん
