平服	へいふく
待命	たいめい
悪路	あくろ
悲歌	ひか
東進	とうしん
校医	こうい
死力	しりょく
深遠	しんえん
湯水	ゆみず
湯船	ゆぶね
着岸	ちゃくがん
着火	ちゃっか
短詩	たんし
社章	しゃしょう
社運	しゃうん
祭事	さいじ
美顔	びがん
荷主	にぬし
薬代	くすりだい
血肉	けつにく
起動	きどう
農事	のうじ
農具	のうぐ
返送	へんそう
配水	はいすい
食指	しょくし
首級	しゅきゅう
鼻先	はなさき
下界	げかい
両人	りょうにん
主客	しゅかく
予研	よけん
今様	いまよう
他界	たかい
切開	せっかい
反物	たんもの
名医	めいい
定式	ていしき
心根	こころね
感電	かんでん
指向	しこう
放列	ほうれつ
横糸	よこいと
止血	しけつ
海神	かいじん
理路	りろ
苦学	くがく
草笛	くさぶえ
落馬	らくば
血相	けっそう
起算	きさん
追想	ついそう
遠泳	えんえい
部首	ぶしゅ
顔役	かおやく
高配	こうはい
上皮	うわかわ
人面	じんめん
他力	たりき
原酒	げんしゅ
同定	どうてい
回向	えこう
定本	ていほん
手相	てそう
早業	はやわざ
昔風	むかしふう
死人	しにん
波頭	なみがしら
漢人	かんじん
病後	びょうご
発色	はっしょく
目鼻	めはな
短刀	たんとう
神木	しんぼく
緑豆	りょくとう
転回	てんかい
転進	てんしん
速力	そくりょく
鉄火	てっか
音速	おんそく
上品	じょうひん
人身	じんしん
写植	しゃしょく
半農	はんのう
号数	ごうすう
名君	めいくん
実姉	じっし
悪童	あくどう
教化	きょうか
本院	ほんいん
洋行	ようこう
生者	せいしゃ
病苦	びょうく
相思	そうし
祭主	さいしゅ
箱船	はこぶね
終夜	しゅうや
美点	びてん
葉月	はづき
血族	けつぞく
記章	きしょう
軽石	かるいし
遊学	ゆうがく
門柱	もんちゅう
雨具	あまぐ
主君	しゅくん
大屋	おおや
家集	かしゅう
寒中	かんちゅう
後代	こうだい
感光	かんこう
感受	かんじゅ
所業	しょぎょう
手代	てだい
服薬	ふくやく
横波	よこなみ
横車	よこぐるま
洋室	ようしつ
着水	ちゃくすい
短気	たんき
細面	ほそおもて
緑青	ろくしょう
落球	らっきゅう
血色	けっしょく
配船	はいせん
鉄柱	てっちゅう
開明	かいめい
暗夜	あんや
暗算	あんざん
一向	いっこう
一重	ひとえ
丁度	ちょうど
下等	かとう
乗場	のりば
人様	ひとさま
他者	たしゃ
他面	ためん
代目	だいめ
全点	ぜんてん
冬期	とうき
化合	かごう
千葉	ちば
反日	はんにち
反面	はんめん
受取	うけとり
受身	うけみ
和式	わしき
和語	わご
夏期	かき
夜具	やぐ
子羊	こひつじ
定形	ていけい
定番	ていばん
客間	きゃくま
対中	たいちゅう
小羊	こひつじ
広島	ひろしま
度合	どあい
急用	きゅうよう
悪寒	おかん
悪気	わるぎ
感化	かんか
整数	せいすう
新着	しんちゃく
書取	かきとり
有様	ありさま
本箱	ほんばこ
横着	おうちゃく
次女	じじょ
流石	さすが
漢和	かんわ
神戸	こうべ
祭日	さいじつ
第一	だいいち
第二	だいに
美白	びはく
花屋	はなや
苦味	にがみ
葉書	はがき
見所	みどころ
買物	かいもの
赤面	せきめん
身体	しんたい
部活	ぶかつ
銀紙	ぎんがみ
面子	メンツ
飲物	のみもの
鼻紙	はながみ
発進	はっしん
五輪	ごりん
以来	いらい
会議	かいぎ
住民	じゅうみん
共同	きょうどう
努力	どりょく
労働	ろうどう
協会	きょうかい
協力	きょうりょく
協定	きょうてい
協議	きょうぎ
参加	さんか
参院	さんいん
周辺	しゅうへん
国民	こくみん
国連	こくれん
変化	へんか
市民	しみん
当初	とうしょ
必要	ひつよう
成長	せいちょう
戦争	せんそう
戦後	せんご
投票	とうひょう
改正	かいせい
方法	ほうほう
昨年	さくねん
景気	けいき
最初	さいしょ
最大	さいだい
最後	さいご
最終	さいしゅう
最近	さいきん
最高	さいこう
機関	きかん
民主	みんしゅ
民族	みんぞく
民間	みんかん
決議	けつぎ
法案	ほうあん
特別	とくべつ
生産	せいさん
目標	もくひょう
目的	もくてき
管理	かんり
結果	けっか
自民	じみん
自然	しぜん
要求	ようきゅう
記録	きろく
試合	しあい
