未来	みらい
未満	みまん
治安	ちあん
法的	ほうてき
海軍	かいぐん
県議	けんぎ
立法	りっぽう
笑顔	えがお
要員	よういん
要望	ようぼう
観客	かんきゃく
調印	ちょういん
農協	のうきょう
農民	のうみん
連敗	れんぱい
開票	かいひょう
隊員	たいいん
面積	めんせき
順調	じゅんちょう
風景	ふうけい
飛行	ひこう
食料	しょくりょう
一種	いっしゅ
不当	ふとう
不法	ふほう
世帯	せたい
争点	そうてん
人種	じんしゅ
作成	さくせい
例外	れいがい
例年	れいねん
借金	しゃっきん
側近	そっきん
側面	そくめん
公約	こうやく
公選	こうせん
冷静	れいせい
出産	しゅっさん
加工	かこう
友達	ともだち
国産	こくさん
大卒	だいそつ
大関	おおぜき
大陸	たいりく
岐阜	ぎふ
工夫	くふう
市議	しぎ
平成	へいせい
形成	けいせい
必死	ひっし
戦前	せんぜん
打席	だせき
指標	しひょう
書類	しょるい
最悪	さいあく
最新	さいしん
民放	みんぽう
法相	ほうしょう
満足	まんぞく
漁業	ぎょぎょう
無理	むり
熱心	ねっしん
特例	とくれい
種類	しゅるい
空軍	くうぐん
競馬	けいば
約束	やくそく
終戦	しゅうせん
育児	いくじ
育成	いくせい
観点	かんてん
軍人	ぐんじん
軍部	ぐんぶ
連日	れんじつ
達成	たっせい
選出	せんしゅつ
都議	とぎ
陸上	りくじょう
電機	でんき
順位	じゅんい
一挙	いっきょ
上司	じょうし
不良	ふりょう
予約	よやく
交付	こうふ
人的	じんてき
以後	いご
便利	べんり
信号	しんごう
健全	けんぜん
光景	こうけい
冬季	とうき
初代	しょだい
初戦	しょせん
初期	しょき
労使	ろうし
動機	どうき
十億	じゅうおく
印刷	いんさつ
原案	げんあん
商法	しょうほう
国軍	こくぐん
外貨	がいか
定例	ていれい
席上	せきじょう
式典	しきてん
念頭	ねんとう
戦力	せんりょく
戦車	せんしゃ
改定	かいてい
敗戦	はいせん
文民	ぶんみん
文芸	ぶんげい
昨秋	さくしゅう
未定	みてい
末期	まっき
栄養	えいよう
業種	ぎょうしゅ
極東	きょくとう
機種	きしゅ
残高	ざんだか
法学	ほうがく
漁船	ぎょせん
無線	むせん
熱帯	ねったい
特使	とくし
特集	とくしゅう
百億	ひゃくおく
県民	けんみん
知的	ちてき
種目	しゅもく
給料	きゅうりょう
給食	きゅうしょく
苦労	くろう
街頭	がいとう
議題	ぎだい
貨物	かもつ
軍隊	ぐんたい
週末	しゅうまつ
陸軍	りくぐん
一票	いっぴょう
下位	かい
不動	ふどう
不要	ふよう
倉庫	そうこ
勇気	ゆうき
単身	たんしん
原料	げんりょう
古典	こてん
同席	どうせき
固定	こてい
天井	てんじょう
天然	てんねん
好機	こうき
学芸	がくげい
完投	かんとう
対戦	たいせん
成人	せいじん
成分	せいぶん
戦時	せんじ
敗北	はいぼく
教訓	きょうくん
数量	すうりょう
新法	しんぽう
日産	にっさん
有料	ゆうりょう
有機	ゆうき
有無	うむ
木材	もくざい
案内	あんない
楽器	がっき
機運	きうん
消印	けしいん
無死	むし
特色	とくしょく
産地	さんち
結集	けっしゅう
草案	そうあん
試算	しさん
通達	つうたつ
連休	れんきゅう
連帯	れんたい
重量	じゅうりょう
開戦	かいせん
順守	じゅんしゅ
飲料	いんりょう
養成	ようせい
一帯	いったい
上陸	じょうりく
不利	ふり
不幸	ふこう
事例	じれい
伝説	でんせつ
入選	にゅうせん
別表	べっぴょう
利害	りがい
労相	ろうしょう
労連	ろうれん
北側	きたがわ
北陸	ほくりく
参照	さんしょう
受信	じゅしん
司会	しかい
合戦	かっせん
品種	ひんしゅ
国旗	こっき
天候	てんこう
好投	こうとう
工芸	こうげい
悲観	ひかん
投機	とうき
持続	じぞく
改良	かいりょう
教材	きょうざい
教養	きょうよう
日付	ひづけ
最長	さいちょう
機動	きどう
残業	ざんぎょう
民事	みんじ
民家	みんか
気候	きこう
水産	すいさん
求人	きゅうじん
清算	せいさん
照明	しょうめい
生協	せいきょう
着陸	ちゃくりく
管内	かんない
老後	ろうご
衣料	いりょう
親類	しんるい
観察	かんさつ
赤松	あかまつ
辞表	じひょう
連打	れんだ
選定	せんてい
都民	とみん
配置	はいち
順次	じゅんじ
首席	しゅせき
一変	いっぺん
不調	ふちょう
井戸	いど
人選	じんせん
信念	しんねん
信金	しんきん
兵力	へいりょく
内側	うちがわ
利子	りし
前例	ぜんれい
加速	かそく
南極	なんきょく
反戦	はんせん
固有	こゆう
大差	たいさ
徒歩	とほ
戦場	せんじょう
所信	しょしん
手順	てじゅん
有害	ゆうがい
本位	ほんい
東側	ひがしがわ
果物	くだもの
極右	きょくう
標高	ひょうこう
機体	きたい
海底	かいてい
満員	まんいん
無事	ぶじ
熱意	ねつい
熱気	ねっき
特有	とくゆう
節目	ふしめ
給付	きゅうふ
自覚	じかく
要人	ようじん
議決	ぎけつ
車種	しゃしゅ
軍機	ぐんき
辞意	じい
配給	はいきゅう
録音	ろくおん
長老	ちょうろう
隊長	たいちょう
題材	だいざい
不服	ふふく
共感	きょうかん
冷夏	れいか
利息	りそく
力説	りきせつ
功労	こうろう
勝敗	しょうはい
区別	くべつ
区民	くみん
南側	みなみがわ
単一	たんいつ
合唱	がっしょう
合法	ごうほう
四季	しき
外信	がいしん
大隊	だいたい
好意	こうい
官民	かんみん
客席	きゃくせき
小児	しょうに
市街	しがい
建前	たてまえ
念願	ねんがん
愛国	あいこく
愛好	あいこう
戦火	せんか
指令	しれい
改選	かいせん
散歩	さんぽ
昨日	きのう
昨春	さくしゅん
時折	ときおり
景観	けいかん
根底	こんてい
楽観	らっかん
機長	きちょう
欠席	けっせき
民意	みんい
民法	みんぽう
無人	むじん
特急	とっきゅう
発信	はっしん
発覚	はっかく
相続	そうぞく
祝日	しゅくじつ
種子	しゅし
育英	いくえい
自給	じきゅう
良好	りょうこう
苦戦	くせん
血管	けっかん
議場	ぎじょう
軍用	ぐんよう
辞典	じてん
連用	れんよう
遊説	ゆうぜい
選者	せんじゃ
駅伝	えきでん
一軍	いちぐん
使節	しせつ
信者	しんじゃ
借地	しゃくち
共生	きょうせい
分散	ぶんさん
刷新	さっしん
協和	きょうわ
周知	しゅうち
器具	きぐ
土産	みやげ
外側	そとがわ
失望	しつぼう
女児	じょじ
好感	こうかん
子孫	しそん
客観	きゃっかん
年産	ねんさん
府立	ふりつ
建国	けんこく
後続	こうぞく
悲願	ひがん
投信	とうしん
最強	さいきょう
望月	もちづき
本願	ほんがん
標的	ひょうてき
民生	みんせい
決戦	けっせん
沖合	おきあい
法定	ほうてい
満点	まんてん
無言	むごん
熱戦	ねっせん
牧場	ぼくじょう
