兆候	ちょうこう
入浴	にゅうよく
内陸	ないりく
初球	しょきゅう
初頭	しょとう
利点	りてん
力量	りきりょう
動議	どうぎ
受給	じゅきゅう
合成	ごうせい
同種	どうしゅ
商戦	しょうせん
実戦	じっせん
必着	ひっちゃく
所管	しょかん
新卒	しんそつ
昨今	さっこん
景品	けいひん
最古	さいこ
有望	ゆうぼう
機材	きざい
欠点	けってん
民兵	みんぺい
法令	ほうれい
消極	しょうきょく
火器	かき
無数	むすう
町民	ちょうみん
究極	きゅうきょく
空席	くうせき
節約	せつやく
給水	きゅうすい
落差	らくさ
落札	らくさつ
衣類	いるい
観戦	かんせん
試案	しあん
試練	しれん
軍兵	ぐんぴょう
転機	てんき
連中	れんちゅう
連戦	れんせん
録画	ろくが
電器	でんき
願望	がんぼう
食器	しょっき
一周	いっしゅう
休養	きゅうよう
伝達	でんたつ
低調	ていちょう
兵員	へいいん
冷害	れいがい
出願	しゅつがん
初出	しょしゅつ
初回	しょかい
加点	かてん
半径	はんけい
参戦	さんせん
友愛	ゆうあい
園芸	えんげい
土器	どき
変身	へんしん
夏季	かき
安芸	あき
年初	ねんしょ
強固	きょうこ
待望	たいぼう
待機	たいき
愛人	あいじん
戦中	せんちゅう
所要	しょよう
改新	かいしん
改札	かいさつ
曲折	きょくせつ
最上	さいじょう
月例	げつれい
月給	げっきゅう
未知	みち
果実	かじつ
梅雨	つゆ
次席	じせき
水位	すいい
決別	けつべつ
満期	まんき
無期	むき
無用	むよう
牧野	ぼくや
特産	とくさん
産物	さんぶつ
男児	だんじ
立案	りつあん
競売	きょうばい
競走	きょうそう
競輪	けいりん
花束	はなたば
街道	かいどう
衣服	いふく
関節	かんせつ
集約	しゅうやく
静止	せいし
一例	いちれい
一節	いっせつ
両側	りょうがわ
伝記	でんき
低温	ていおん
例会	れいかい
光栄	こうえい
公司	コンス
共栄	きょうえい
兵隊	へいたい
分類	ぶんるい
単語	たんご
商標	しょうひょう
外観	がいかん
多量	たりょう
実例	じつれい
少量	しょうりょう
左側	ひだりがわ
成案	せいあん
戦国	せんごく
戦法	せんぽう
指輪	ゆびわ
教官	きょうかん
散発	さんぱつ
旗印	はたじるし
時差	じさ
景色	けしき
