送付	そうふ
飛球	ひきゅう
高熱	こうねつ
魚類	ぎょるい
不戦	ふせん
不運	ふうん
不順	ふじゅん
両輪	りょうりん
争議	そうぎ
仲人	なこうど
全量	ぜんりょう
共用	きょうよう
共立	きょうりつ
初心	しょしん
労力	ろうりょく
化成	かせい
区議	くぎ
博物	はくぶつ
反共	はんきょう
反旗	はんき
城内	じょうない
好守	こうしゅ
官界	かんかい
山菜	さんさい
強要	きょうよう
期末	きまつ
材木	ざいもく
機首	きしゅ
欠場	けつじょう
治水	ちすい
浴場	よくじょう
漁村	ぎょそん
無休	むきゅう
無配	むはい
特訓	とっくん
産別	さんべつ
産科	さんか
石材	せきざい
祝辞	しゅくじ
管長	かんちょう
考察	こうさつ
英明	えいめい
計量	けいりょう
試行	しこう
軍服	ぐんぷく
農法	のうほう
連作	れんさく
郡部	ぐんぶ
部位	ぶい
高位	こうい
不便	ふべん
不問	ふもん
共学	きょうがく
内輪	うちわ
分量	ぶんりょう
初歩	しょほ
労作	ろうさく
参事	さんじ
古参	こさん
古巣	ふるす
同好	どうこう
大成	たいせい
失速	しっそく
完治	かんち
完走	かんそう
定量	ていりょう
実利	じつり
小包	こづつみ
小康	しょうこう
年賀	ねんが
愛想	あいそ
愛用	あいよう
愛読	あいどく
文法	ぶんぽう
末広	すえひろ
極力	きょくりょく
極度	きょくど
治験	ちけん
清流	せいりゅう
清酒	せいしゅ
満面	まんめん
漁場	ぎょじょう
熱湯	ねっとう
物的	ぶってき
特大	とくだい
続出	ぞくしゅつ
線量	せんりょう
老女	ろうじょ
花輪	はなわ
英知	えいち
説教	せっきょう
農産	のうさん
集散	しゅうさん
高低	こうてい
三輪	さんりん
中佐	ちゅうさ
事変	じへん
参観	さんかん
口径	こうけい
合議	ごうぎ
和議	わぎ
器材	きざい
夜景	やけい
対極	たいきょく
岸辺	きしべ
平静	へいせい
建立	こんりゅう
悪徳	あくとく
打順	だじゅん
折半	せっぱん
時機	じき
未練	みれん
極楽	ごくらく
残暑	ざんしょ
水利	すいり
法文	ほうぶん
海戦	かいせん
無風	むふう
特筆	とくひつ
白衣	はくい
積算	せきさん
競歩	きょうほ
米倉	こめぐら
米飯	べいはん
菜園	さいえん
計器	けいき
試料	しりょう
試食	ししょく
近辺	きんぺん
達人	たつじん
達者	たっしゃ
野望	やぼう
野末	のずえ
電信	でんしん
静観	せいかん
高給	こうきゅう
黒衣	こくい
不仲	ふなか
中卒	ちゅうそつ
中隊	ちゅうたい
代官	だいかん
便乗	びんじょう
共鳴	きょうめい
内包	ないほう
切望	せつぼう
初級	しょきゅう
初老	しょろう
動静	どうせい
号令	ごうれい
同然	どうぜん
品位	ひんい
固形	こけい
塩田	えんでん
失明	しつめい
学位	がくい
完工	かんこう
建議	けんぎ
成約	せいやく
末日	まつじつ
札束	さつたば
灯台	とうだい
無給	むきゅう
牧草	ぼくそう
物置	ものおき
的中	てきちゅう
着衣	ちゃくい
種別	しゅべつ
群島	ぐんとう
街路	がいろ
試薬	しやく
軍医	ぐんい
転戦	てんせん
連発	れんぱつ
連関	れんかん
関知	かんち
電極	でんきょく
電灯	でんとう
養老	ようろう
上官	じょうかん
両極	りょうきょく
付録	ふろく
伝来	でんらい
便所	べんじょ
協約	きょうやく
単発	たんぱつ
司教	しきょう
変調	へんちょう
多種	たしゅ
山積	さんせき
年利	ねんり
方位	ほうい
極点	きょくてん
消失	しょうしつ
温帯	おんたい
無法	むほう
熱風	ねっぷう
産休	さんきゅう
産後	さんご
病害	びょうがい
白熱	はくねつ
白票	はくひょう
節水	せっすい
街区	がいく
陸地	りくち
養母	ようぼ
一望	いちぼう
一説	いっせつ
不徳	ふとく
不意	ふい
不毛	ふもう
以外	いがい
伝家	でんか
低音	ていおん
元利	がんり
入隊	にゅうたい
包帯	ほうたい
協商	きょうしょう
単勝	たんしょう
唱歌	しょうか
大観	たいかん
失意	しつい
失投	しっとう
宮司	ぐうじ
家臣	かしん
川底	かわぞこ
左辺	さへん
帰結	きけつ
平然	へいぜん
年輪	ねんりん
心底	しんそこ
急変	きゅうへん
流量	りゅうりょう
満月	まんげつ
無口	むくち
無知	むち
産声	うぶごえ
約定	やくじょう
船底	せんてい
要点	ようてん
軍港	ぐんこう
通説	つうせつ
連夜	れんや
野戦	やせん
音量	おんりょう
飛来	ひらい
養女	ようじょ
一群	いちぐん
不実	ふじつ
体積	たいせき
前輪	ぜんりん
名産	めいさん
図案	ずあん
国府	こくふ
地熱	ちねつ
塩水	しおみず
変速	へんそく
平民	へいみん
戦局	せんきょく
改名	かいめい
改変	かいへん
改悪	かいあく
文案	ぶんあん
林産	りんさん
民有	みんゆう
浅見	せんけん
海老	えび
