小兵	こひょう
年功	ねんこう
後輪	こうりん
思案	しあん
戦果	せんか
戦記	せんき
旗色	はたいろ
旗頭	はたがしら
最愛	さいあい
望遠	ぼうえん
極地	きょくち
極寒	ごっかん
氏子	うじこ
治山	ちさん
法事	ほうじ
流産	りゅうざん
熱量	ねつりょう
結石	けっせき
給湯	きゅうとう
肉類	にくるい
良品	りょうひん
苦笑	くしょう
親愛	しんあい
詩的	してき
選曲	せんきょく
集結	しゅうけつ
香料	こうりょう
一念	いちねん
一案	いちあん
人望	じんぼう
付着	ふちゃく
低速	ていそく
別紙	べっし
前菜	ぜんさい
単線	たんせん
博愛	はくあい
右辺	うへん
司書	ししょ
大軍	たいぐん
孫子	まごこ
成育	せいいく
整然	せいぜん
新参	しんざん
新説	しんせつ
昨冬	さくとう
極意	ごくい
欠落	けつらく
残雪	ざんせつ
気管	きかん
法度	はっと
無味	むみ
無色	むしょく
無血	むけつ
特命	とくめい
白旗	しらはた
直結	ちょっけつ
積年	せきねん
続開	ぞっかい
自説	じせつ
走法	そうほう
軍手	ぐんて
輪番	りんばん
野良	のら
門徒	もんと
陸運	りくうん
音信	おんしん
養生	ようじょう
一昨	いっさく
代案	だいあん
低地	ていち
側室	そくしつ
利根	りこん
単体	たんたい
原典	げんてん
原初	げんしょ
各位	かくい
同量	どうりょう
城主	じょうしゅ
変死	へんし
多産	たさん
大漁	たいりょう
失笑	しっしょう
小隊	しょうたい
巣箱	すばこ
心労	しんろう
散見	さんけん
旗本	はたもと
植民	しょくみん
残金	ざんきん
残飯	ざんぱん
民業	みんぎょう
法理	ほうり
消灯	しょうとう
無機	むき
焼失	しょうしつ
特化	とっか
特注	とくちゅう
用法	ようほう
祝典	しゅくてん
祝意	しゅくい
続落	ぞくらく
考案	こうあん
自選	じせん
英才	えいさい
街灯	がいとう
赤飯	せきはん
選書	せんしょ
一笑	いっしょう
上席	じょうせき
不老	ふろう
出典	しゅってん
副業	ふくぎょう
参賀	さんが
古希	こき
地底	ちてい
好打	こうだ
安置	あんち
実録	じつろく
建具	たてぐ
所産	しょさん
挙動	きょどう
散水	さんすい
新兵	しんぺい
方便	ほうべん
法主	ほっす
湖底	こてい
灯火	とうか
無心	むしん
画材	がざい
発議	はつぎ
相関	そうかん
節分	せつぶん
衣食	いしょく
訓令	くんれい
試乗	しじょう
語法	ごほう
課外	かがい
軍歌	ぐんか
連記	れんき
酒席	しゅせき
低位	ていい
倍加	ばいか
億万	おくまん
典礼	てんれい
内省	ないせい
初秋	しょしゅう
労農	ろうのう
動的	どうてき
古老	ころう
失地	しっち
家老	かろう
度量	どりょう
愛鳥	あいちょう
戦敗	せんぱい
才覚	さいかく
挙手	きょしゅ
散文	さんぶん
文例	ぶんれい
新芽	しんめ
松明	たいまつ
機転	きてん
満天	まんてん
無礼	ぶれい
無類	むるい
神器	じんぎ
船便	ふなびん
試飲	しいん
説法	せっぽう
辺地	へんち
不和	ふわ
以遠	いえん
信望	しんぼう
内的	ないてき
助産	じょさん
印章	いんしょう
名案	めいあん
固辞	こじ
声帯	せいたい
外周	がいしゅう
夫君	ふくん
好戦	こうせん
左官	さかん
成文	せいぶん
曲芸	きょくげい
末寺	まつじ
極北	きょくほく
水兵	すいへい
法治	ほうち
流失	りゅうしつ
浴後	よくご
海兵	かいへい
清明	せいめい
漁期	ぎょき
物種	ものだね
病的	びょうてき
発散	はっさん
百選	ひゃくせん
福徳	ふくとく
自省	じせい
色覚	しきかく
説話	せつわ
軍国	ぐんこく
連理	れんり
道標	どうひょう
飯店	はんてん
養分	ようぶん
二佐	にさ
初冬	しょとう
初耳	はつみみ
初雪	はつゆき
利水	りすい
印字	いんじ
号泣	ごうきゅう
司直	しちょく
固化	こか
塩味	しおあじ
愛馬	あいば
成形	せいけい
文官	ぶんかん
本望	ほんもう
流民	るみん
物量	ぶつりょう
表札	ひょうさつ
軍楽	ぐんがく
速達	そくたつ
銀貨	ぎんか
信心	しんじん
兵学	へいがく
