無二	むに
種馬	たねうま
老母	ろうぼ
辞世	じせい
辞林	じりん
道順	みちじゅん
青票	せいひょう
青菜	あおな
順法	じゅんぽう
一飛	いちひ
主唱	しゅしょう
健筆	けんぴつ
列伝	れつでん
列席	れっせき
初物	はつもの
器楽	きがく
器用	きよう
変心	へんしん
変数	へんすう
好色	こうしょく
岩塩	がんえん
帰順	きじゅん
建学	けんがく
手塩	てしお
改題	かいだい
本給	ほんきゅう
校旗	こうき
楽隊	がくたい
機知	きち
残照	ざんしょう
民具	みんぐ
気付	きづけ
水冷	すいれい
求愛	きゅうあい
法会	ほうえ
照度	しょうど
特進	とくしん
用材	ようざい
白梅	しらうめ
良書	りょうしょ
観月	かんげつ
鏡台	きょうだい
門松	かどまつ
電位	でんい
付記	ふき
全焼	ぜんしょう
内法	うちのり
初子	ういご
参会	さんかい
大典	たいてん
大願	たいがん
定席	じょうせき
実印	じついん
席順	せきじゅん
徳利	とっくり
成魚	せいぎょ
日録	にちろく
梅園	ばいえん
決然	けつぜん
漁具	ぎょぐ
着席	ちゃくせき
神官	しんかん
空位	くうい
空冷	くうれい
追試	ついし
進軍	しんぐん
達観	たっかん
遠景	えんけい
重臣	じゅうしん
陸橋	りっきょう
会席	かいせき
使徒	しと
副食	ふくしょく
半周	はんしゅう
単利	たんり
参宮	さんぐう
国富	こくふ
失調	しっちょう
官軍	かんぐん
愛書	あいしょ
昼飯	ひるめし
時候	じこう
時季	じき
案分	あんぶん
滋養	じよう
無辺	むへん
焼身	しょうしん
熱唱	ねっしょう
画法	がほう
百害	ひゃくがい
答辞	とうじ
給仕	きゅうじ
群青	ぐんじょう
自害	じがい
芸文	げいぶん
行軍	こうぐん
言辞	げんじ
賀正	がしょう
農夫	のうふ
静的	せいてき
香味	こうみ
仲買	なかがい
伝法	でんぽう
別種	べっしゅ
同類	どうるい
城下	じょうか
好走	こうそう
完調	かんちょう
対置	たいち
左折	させつ
徒労	とろう
愛社	あいしゃ
改作	かいさく
改心	かいしん
文典	ぶんてん
文博	ぶんはく
梅花	ばいか
標題	ひょうだい
機先	きせん
求道	きゅうどう
温熱	おんねつ
満身	まんしん
点景	てんけい
特等	とくとう
空陸	くうりく
老松	ろうしょう
菜種	なたね
遠浅	とおあさ
陸戦	りくせん
音節	おんせつ
音訓	おんくん
香気	こうき
安産	あんざん
愛育	あいいく
京阪	けいはん
人参	にんじん
人達	ひとたち
令和	れいわ
何卒	なにとぞ
例題	れいだい
健気	けなげ
入梅	つゆいり
