圧力	あつりょく
地価	ちか
外務	がいむ
大型	おおがた
実質	じっしつ
常任	じょうにん
広報	こうほう
建築	けんちく
強制	きょうせい
得点	とくてん
性格	せいかく
態勢	たいせい
成績	せいせき
手術	しゅじゅつ
授業	じゅぎょう
提出	ていしゅつ
損失	そんしつ
損害	そんがい
支部	しぶ
支配	しはい
政局	せいきょく
日常	にちじょう
期限	きげん
本格	ほんかく
格差	かくさ
業績	ぎょうせき
構成	こうせい
正義	せいぎ
殺人	さつじん
比率	ひりつ
決断	けつだん
減少	げんしょう
演出	えんしゅつ
災害	さいがい
燃料	ねんりょう
物価	ぶっか
物質	ぶっしつ
犯罪	はんざい
現職	げんしょく
現象	げんしょう
現金	げんきん
研修	けんしゅう
経費	けいひ
義務	ぎむ
職場	しょくば
職業	しょくぎょう
複数	ふくすう
複雑	ふくざつ
要因	よういん
規定	きてい
解放	かいほう
解明	かいめい
設立	せつりつ
設計	せっけい
許可	きょか
証言	しょうげん
評議	ひょうぎ
課税	かぜい
講師	こうし
財界	ざいかい
資本	しほん
資格	しかく
逆転	ぎゃくてん
運輸	うんゆ
過程	かてい
金額	きんがく
世紀	せいき
予備	よび
予測	よそく
予防	よぼう
体質	たいしつ
保健	ほけん
保有	ほゆう
個性	こせい
再生	さいせい
制定	せいてい
効率	こうりつ
博士	はかせ
団長	だんちょう
国政	こくせい
在住	ざいじゅう
増税	ぞうぜい
大勢	おおぜい
夫妻	ふさい
守備	しゅび
実情	じつじょう
寄付	きふ
後任	こうにん
得票	とくひょう
復帰	ふっき
復活	ふっかつ
復興	ふっこう
志向	しこう
意義	いぎ
感情	かんじょう
戦術	せんじゅつ
所属	しょぞく
指示	しじ
採決	さいけつ
提言	ていげん
支出	ししゅつ
改造	かいぞう
暴力	ぼうりょく
格好	かっこう
検事	けんじ
構築	こうちく
標準	ひょうじゅん
活性	かっせい
無職	むしょく
物資	ぶっし
犯行	はんこう
球団	きゅうだん
知識	ちしき
確立	かくりつ
移動	いどう
移行	いこう
移転	いてん
税率	ぜいりつ
答弁	とうべん
素材	そざい
経常	けいじょう
統治	とうち
統計	とうけい
絶対	ぜったい
興味	きょうみ
表示	ひょうじ
製作	せいさく
要素	ようそ
解体	かいたい
解消	かいしょう
解説	かいせつ
設定	せってい
説得	せっとく
財団	ざいだん
財産	ざいさん
貯金	ちょきん
賞金	しょうきん
辞職	じしょく
週刊	しゅうかん
適切	てきせつ
適時	てきじ
適用	てきよう
金属	きんぞく
限界	げんかい
主任	しゅにん
仏教	ぶっきょう
付属	ふぞく
任務	にんむ
保安	ほあん
保育	ほいく
入賞	にゅうしょう
内政	ないせい
判定	はんてい
取得	しゅとく
合弁	ごうべん
合格	ごうかく
名義	めいぎ
在庫	ざいこ
基調	きちょう
大賞	たいしょう
実務	じつむ
容易	ようい
小型	こがた
常識	じょうしき
弁護	べんご
形態	けいたい
得意	とくい
急性	きゅうせい
招待	しょうたい
支給	しきゅう
新政	しんせい
新規	しんき
日経	にっけい
構図	こうず
残留	ざんりゅう
民営	みんえい
減益	げんえき
演技	えんぎ
火災	かさい
無罪	むざい
犯人	はんにん
独特	どくとく
率直	そっちょく
現役	げんえき
申告	しんこく
留学	りゅうがく
確定	かくてい
神経	しんけい
税金	ぜいきん
経過	けいか
芸能	げいのう
血液	けつえき
評判	ひょうばん
豊富	ほうふ
財務	ざいむ
適正	てきせい
酸化	さんか
上限	じょうげん
不在	ふざい
主演	しゅえん
件数	けんすう
余地	よち
先制	せんせい
出資	しゅっし
判事	はんじ
制球	せいきゅう
力士	りきし
告発	こくはつ
告示	こくじ
多額	たがく
居住	きょじゅう
往復	おうふく
政令	せいれい
新設	しんせつ
日報	にっぽう
有罪	ゆうざい
木造	もくぞう
本質	ほんしつ
条例	じょうれい
気象	きしょう
法制	ほうせい
消防	しょうぼう
演習	えんしゅう
祖国	そこく
移民	いみん
総数	そうすう
習慣	しゅうかん
自殺	じさつ
衛生	えいせい
複合	ふくごう
規則	きそく
証明	しょうめい
調停	ちょうてい
謝罪	しゃざい
通過	つうか
速報	そくほう
適当	てきとう
開示	かいじ
開設	かいせつ
防災	ぼうさい
限定	げんてい
上演	じょうえん
中絶	ちゅうぜつ
予報	よほう
人質	ひとじち
保持	ほじ
修復	しゅうふく
修理	しゅうり
全額	ぜんがく
公団	こうだん
内務	ないむ
再三	さいさん
再発	さいはつ
出張	しゅっちょう
制約	せいやく
厚相	こうしょう
同志	どうし
品質	ひんしつ
国務	こくむ
報復	ほうふく
学術	がくじゅつ
安易	あんい
容器	ようき
宿舎	しゅくしゃ
差益	さえき
弁当	べんとう
心境	しんきょう
想像	そうぞう
慣行	かんこう
故人	こじん
新型	しんがた
暗殺	あんさつ
暴動	ぼうどう
暴行	ぼうこう
朝刊	ちょうかん
本件	ほんけん
検定	けんてい
歴代	れきだい
殺害	さつがい
河川	かせん
減速	げんそく
炭素	たんそ
点検	てんけん
無効	むこう
画像	がぞう
素直	すなお
経由	けいゆ
職務	しょくむ
自衛	じえい
苦情	くじょう
解任	かいにん
記述	きじゅつ
軍備	ぐんび
農政	のうせい
防護	ぼうご
限度	げんど
面接	めんせつ
任意	にんい
会費	かいひ
似顔	にがお
住居	じゅうきょ
入居	にゅうきょ
公示	こうじ
再選	さいせん
刊行	かんこう
制服	せいふく
協賛	きょうさん
厚生	こうせい
受講	じゅこう
団地	だんち
墓地	ぼち
増大	ぞうだい
夕刊	ゆうかん
外資	がいし
実効	じっこう
急増	きゅうぞう
性能	せいのう
情熱	じょうねつ
感性	かんせい
感謝	かんしゃ
才能	さいのう
打率	だりつ
採算	さいさん
支社	ししゃ
政経	せいけい
救急	きゅうきゅう
文句	もんく
月刊	げっかん
校舎	こうしゃ
正規	せいき
死因	しいん
水質	すいしつ
法務	ほうむ
混迷	こんめい
測定	そくてい
特許	とっきょ
独身	どくしん
築地	ついじ
米価	べいか
結構	けっこう
統制	とうせい
絶好	ぜっこう
総量	そうりょう
規格	きかく
