不快	ふかい
予告	よこく
交易	こうえき
仏像	ぶつぞう
仮想	かそう
余人	よじん
余力	よりょく
個体	こたい
停車	ていしゃ
健在	けんざい
元祖	がんそ
内規	ないき
再燃	さいねん
動脈	どうみゃく
勝因	しょういん
勝率	しょうりつ
国士	こくし
地質	ちしつ
境地	きょうち
増減	ぞうげん
失格	しっかく
学費	がくひ
容積	ようせき
山脈	さんみゃく
市政	しせい
布告	ふこく
序列	じょれつ
形状	けいじょう
性急	せいきゅう
情景	じょうけい
支柱	しちゅう
故意	こい
旧来	きゅうらい
暴風	ぼうふう
本能	ほんのう
材質	ざいしつ
査定	さてい
根絶	こんぜつ
検出	けんしゅつ
気勢	きせい
点在	てんざい
独断	どくだん
理性	りせい
直営	ちょくえい
直属	ちょくぞく
確固	かっこ
空輸	くうゆ
紀行	きこう
素子	そし
義母	ぎぼ
自制	じせい
見識	けんしき
識別	しきべつ
識者	しきしゃ
賞品	しょうひん
質量	しつりょう
起因	きいん
車検	しゃけん
軍団	ぐんだん
軽快	けいかい
輸銀	ゆぎん
酒税	しゅぜい
酒造	しゅぞう
重厚	じゅうこう
防火	ぼうか
際会	さいかい
雑草	ざっそう
音質	おんしつ
食費	しょくひ
高圧	こうあつ
不可	ふか
会報	かいほう
健保	けんぽ
内示	ないじ
初版	しょはん
原価	げんか
在米	ざいべい
変造	へんぞう
定率	ていりつ
実像	じつぞう
寄席	よせ
建造	けんぞう
形勢	けいせい
得失	とくしつ
応分	おうぶん
愛護	あいご
接着	せっちゃく
教団	きょうだん
断熱	だんねつ
断面	だんめん
根性	こんじょう
正統	せいとう
求職	きゅうしょく
減給	げんきゅう
相応	そうおう
知性	ちせい
確約	かくやく
粉末	ふんまつ
絶大	ぜつだい
続編	ぞくへん
総力	そうりょく
織物	おりもの
能率	のうりつ
自任	じにん
要職	ようしょく
計測	けいそく
軍属	ぐんぞく
過当	かとう
道義	どうぎ
適合	てきごう
適格	てきかく
選任	せんにん
重複	ちょうふく
面識	めんしき
風格	ふうかく
一団	いちだん
一過	いっか
体勢	たいせい
再考	さいこう
半減	はんげん
告白	こくはく
品格	ひんかく
均一	きんいつ
変容	へんよう
学士	がくし
実技	じつぎ
実演	じつえん
対比	たいひ
弁明	べんめい
往年	おうねん
快調	かいちょう
快速	かいそく
性向	せいこう
手際	てぎわ
断然	だんぜん
新任	しんにん
新刊	しんかん
有能	ゆうのう
本領	ほんりょう
格別	かくべつ
氷河	ひょうが
消毒	しょうどく
液化	えきか
特製	とくせい
知能	ちのう
破局	はきょく
管財	かんざい
精米	せいまい
編入	へんにゅう
薬価	やっか
複利	ふくり
複製	ふくせい
観賞	かんしょう
護岸	ごがん
貯水	ちょすい
貸金	かしきん
軽率	けいそつ
逆手	さかて
過言	かごん
適度	てきど
鉱物	こうぶつ
防空	ぼうくう
領事	りょうじ
一義	いちぎ
主査	しゅさ
事象	じしょう
低減	ていげん
先導	せんどう
再演	さいえん
再起	さいき
加減	かげん
動態	どうたい
受容	じゅよう
受益	じゅえき
同率	どうりつ
国勢	こくせい
国費	こくひ
在野	ざいや
大師	だいし
大義	たいぎ
対価	たいか
工務	こうむ
快感	かいかん
戦災	せんさい
接見	せっけん
政見	せいけん
教祖	きょうそ
文脈	ぶんみゃく
新制	しんせい
新婦	しんぷ
明示	めいじ
暴挙	ぼうきょ
月経	げっけい
有毒	ゆうどく
格子	こうし
楽団	がくだん
減員	げんいん
現有	げんゆう
球技	きゅうぎ
破損	はそん
総意	そうい
群像	ぐんぞう
講和	こうわ
