再興	さいこう
切断	せつだん
功罪	こうざい
在位	ざいい
字句	じく
家政	かせい
念仏	ねんぶつ
情念	じょうねん
情状	じょうじょう
授賞	じゅしょう
接客	せっきゃく
損金	そんきん
教職	きょうしょく
暴言	ぼうげん
格言	かくげん
格調	かくちょう
毒物	どくぶつ
水際	みずぎわ
減配	げんぱい
特技	とくぎ
独学	どくがく
精算	せいさん
精進	しょうじん
総菜	そうざい
編曲	へんきょく
織機	しょっき
罪悪	ざいあく
義兄	ぎけい
義弟	ぎてい
職安	しょくあん
船団	せんだん
血統	けっとう
貸借	たいしゃく
賛助	さんじょ
賞味	しょうみ
逆境	ぎゃっきょう
造園	ぞうえん
適任	てきにん
非情	ひじょう
風圧	ふうあつ
駅舎	えきしゃ
一句	いっく
付則	ふそく
代弁	だいべん
任官	にんかん
余生	よせい
備品	びひん
別格	べっかく
利得	りとく
印税	いんぜい
在校	ざいこう
大政	たいせい
天性	てんせい
失政	しっせい
官舎	かんしゃ
宿営	しゅくえい
平易	へいい
快走	かいそう
戦史	せんし
技官	ぎかん
断交	だんこう
旧知	きゅうち
本則	ほんそく
桜花	おうか
水圧	すいあつ
油圧	ゆあつ
混同	こんどう
炭酸	たんさん
無税	むぜい
独力	どくりょく
現像	げんぞう
現業	げんぎょう
理容	りよう
発禁	はっきん
県勢	けんせい
石仏	せきぶつ
総計	そうけい
考査	こうさ
耕地	こうち
設営	せつえい
質実	しつじつ
質屋	しちや
質感	しつかん
鉄則	てっそく
雑用	ざつよう
雑種	ざっしゅ
馬術	ばじゅつ
中性	ちゅうせい
乗務	じょうむ
低額	ていがく
余白	よはく
保線	ほせん
前任	ぜんにん
反復	はんぷく
同罪	どうざい
営巣	えいそう
報知	ほうち
官能	かんのう
居留	きょりゅう
常態	じょうたい
常道	じょうどう
平価	へいか
序文	じょぶん
弁天	べんてん
復刊	ふっかん
徳義	とくぎ
性器	せいき
技量	ぎりょう
採石	さいせき
損得	そんとく
故事	こじ
救護	きゅうご
教義	きょうぎ
散在	さんざい
時報	じほう
木版	もくはん
武家	ぶけ
歴任	れきにん
現世	げんせ
留年	りゅうねん
眼目	がんもく
確証	かくしょう
精査	せいさ
絶版	ぜっぱん
綿花	めんか
総代	そうだい
総出	そうで
罪状	ざいじょう
義足	ぎそく
肉眼	にくがん
自賛	じさん
薬効	やっこう
薬師	やくし
講話	こうわ
豊漁	ほうりょう
