減殺	げんさい
版木	はんぎ
牛舎	ぎゅうしゃ
犯意	はんい
独唱	どくしょう
独居	どっきょ
石像	せきぞう
立像	りつぞう
経学	けいがく
絶品	ぜっぴん
証印	しょういん
逆算	ぎゃくさん
非番	ひばん
音程	おんてい
人造	じんぞう
修好	しゅうこう
公告	こうこく
公序	こうじょ
出航	しゅっこう
判別	はんべつ
医務	いむ
圧政	あっせい
在家	ざいけ
売価	ばいか
学務	がくむ
客演	きゃくえん
居候	いそうろう
常勝	じょうしょう
府税	ふぜい
暗示	あんじ
毒薬	どくやく
比類	ひるい
水耕	すいこう
油性	ゆせい
混声	こんせい
球状	きゅうじょう
留意	りゅうい
神仏	しんぶつ
空費	くうひ
素養	そよう
総花	そうばな
義妹	ぎまい
肥育	ひいく
製版	せいはん
角質	かくしつ
解職	かいしょく
謝辞	しゃじ
貧者	ひんじゃ
逆流	ぎゃくりゅう
過食	かしょく
中興	ちゅうこう
仏学	ぶつがく
伝導	でんどう
価額	かがく
修整	しゅうせい
内圧	ないあつ
加護	かご
勇断	ゆうだん
厚紙	あつがみ
反証	はんしょう
図解	ずかい
基点	きてん
墓所	ぼしょ
増配	ぞうはい
学制	がくせい
定規	じょうぎ
居士	こじ
平素	へいそ
情実	じょうじつ
政談	せいだん
新妻	にいづま
林政	りんせい
毒殺	どくさつ
熱情	ねつじょう
特賞	とくしょう
理非	りひ
相殺	そうさい
石造	せきぞう
礼賛	らいさん
節句	せっく
織布	しょくふ
英領	えいりょう
貧民	ひんみん
賛美	さんび
防虫	ぼうちゅう
非力	ひりき
順応	じゅんのう
領地	りょうち
伝授	でんじゅ
余録	よろく
例示	れいじ
可動	かどう
均質	きんしつ
塩酸	えんさん
婦女	ふじょ
学資	がくし
守衛	しゅえい
復習	ふくしゅう
復配	ふくはい
志士	しし
快音	かいおん
情愛	じょうあい
接岸	せつがん
服務	ふくむ
極貧	ごくひん
残像	ざんぞう
残額	ざんがく
略取	りゃくしゅ
皮質	ひしつ
眼光	がんこう
社史	しゃし
神職	しんしょく
移入	いにゅう
移設	いせつ
紙質	ししつ
綿糸	めんし
肉質	にくしつ
調製	ちょうせい
