素因	そいん
素行	そこう
経国	けいこく
総和	そうわ
証文	しょうもん
説経	せっきょう
貧相	ひんそう
走破	そうは
余談	よだん
再犯	さいはん
再読	さいどく
前編	ぜんぺん
強弁	きょうべん
復学	ふくがく
感興	かんきょう
採録	さいろく
教示	きょうじ
検便	けんべん
氷解	ひょうかい
減食	げんしょく
牧舎	ぼくしゃ
相似	そうじ
破竹	はちく
精選	せいせん
経度	けいど
総員	そういん
行状	ぎょうじょう
銅線	どうせん
雑事	ざつじ
雑食	ざっしょく
不義	ふぎ
予価	よか
余技	よぎ
例証	れいしょう
兵団	へいだん
句作	くさく
多勢	たぜい
夜桜	よざくら
年余	ねんよ
快打	かいだ
性根	しょうね
感応	かんのう
採鉱	さいこう
旅程	りょてい
旧法	きゅうほう
果断	かだん
梅毒	ばいどく
業師	わざし
無勢	ぶぜい
画布	がふ
発句	ほっく
石綿	いしわた
社団	しゃだん
禁制	きんせい
築山	つきやま
粉雪	こなゆき
給費	きゅうひ
絶交	ぜっこう
絶筆	ぜっぴつ
罪人	ざいにん
解題	かいだい
談義	だんぎ
費消	ひしょう
転任	てんにん
適役	てきやく
風紀	ふうき
一脈	いちみゃく
仮説	かせつ
余所	よそ
余程	よほど
修行	しゅぎょう
備考	びこう
先程	さきほど
全快	ぜんかい
判子	はんこ
前略	ぜんりゃく
厚意	こうい
厚着	あつぎ
図示	ずし
変移	へんい
挙句	あげく
殺気	さっき
準急	じゅんきゅう
独楽	こま
白粉	おしろい
編物	あみもの
老眼	ろうがん
職歴	しょくれき
花弁	はなびら
術語	じゅつご
製図	せいず
規準	きじゅん
貸出	かしだし
貸間	かしま
近眼	きんがん
適確	てきかく
重態	じゅうたい
銅貨	どうか
養護	ようご
容態	ようだい
独得	どくとく
賞賛	しょうさん
住宅	じゅうたく
候補	こうほ
優勝	ゆうしょう
内閣	ないかく
加盟	かめい
危機	きき
地域	ちいき
姿勢	しせい
子供	こども
宣言	せんげん
対策	たいさく
将来	しょうらい
役割	やくわり
従来	じゅうらい
憲法	けんぽう
批判	ひはん
拡大	かくだい
推進	すいしん
改革	かいかく
政党	せいとう
政権	せいけん
政策	せいさく
新党	しんとう
方針	ほうしん
映画	えいが
株式	かぶしき
段階	だんかい
経済	けいざい
総裁	そうさい
背景	はいけい
自宅	じたく
衆院	しゅういん
裁判	さいばん
規模	きぼ
訪問	ほうもん
証券	しょうけん
論議	ろんぎ
警察	けいさつ
野党	やとう
世論	よろん
両党	りょうとう
人権	じんけん
党内	とうない
党首	とうしゅ
処分	しょぶん
処理	しょり
制裁	せいさい
劇場	げきじょう
危険	きけん
収入	しゅうにゅう
同党	どうとう
同盟	どうめい
地裁	ちさい
天皇	てんのう
存在	そんざい
宇宙	うちゅう
宗教	しゅうきょう
容疑	ようぎ
専務	せんむ
専門	せんもん
就任	しゅうにん
展開	てんかい
延長	えんちょう
意欲	いよく
承認	しょうにん
担当	たんとう
改善	かいぜん
映像	えいぞう
株価	かぶか
検討	けんとう
権利	けんり
権力	けんりょく
武装	ぶそう
法律	ほうりつ
深刻	しんこく
混乱	こんらん
疑問	ぎもん
発展	はってん
県警	けんけい
秘書	ひしょ
簡単	かんたん
結論	けつろん
臨時	りんじ
自己	じこ
若手	わかて
若者	わかもの
蔵相	ぞうしょう
装置	そうち
認識	にんしき
議論	ぎろん
負担	ふたん
連盟	れんめい
閣議	かくぎ
障害	しょうがい
雑誌	ざっし
難民	なんみん
革命	かくめい
一層	いっそう
