閣下	かっか
防除	ぼうじょ
順延	じゅんえん
一寸	いっすん
乱脈	らんみゃく
仁王	におう
今晩	こんばん
円熟	えんじゅく
分派	ぶんぱ
創建	そうけん
労賃	ろうちん
厳守	げんしゅ
厳寒	げんかん
厳禁	げんきん
小銭	こぜに
授乳	じゅにゅう
探知	たんち
支庁	しちょう
新著	しんちょ
未収	みしゅう
本庁	ほんちょう
次善	じぜん
洗顔	せんがん
熟語	じゅくご
看守	かんしゅ
磁力	じりょく
私人	しじん
穀倉	こくそう
純増	じゅんぞう
結腸	けっちょう
至福	しふく
蒸発	じょうはつ
裁断	さいだん
裏手	うらて
裏話	うらばなし
諸悪	しょあく
連呼	れんこ
難易	なんい
一巻	いっかん
冷蔵	れいぞう
卵白	らんぱく
善悪	ぜんあく
善玉	ぜんだま
墓穴	ぼけつ
声優	せいゆう
外敵	がいてき
大樹	たいじゅ
大脳	だいのう
感傷	かんしょう
拝金	はいきん
断腸	だんちょう
染織	せんしょく
模造	もぞう
欠勤	けっきん
注視	ちゅうし
洗車	せんしゃ
深紅	しんく
激増	げきぞう
片言	かたこと
異郷	いきょう
磁器	じき
聖人	せいじん
聖歌	せいか
自尊	じそん
自著	じちょ
衛視	えいし
適否	てきひ
閣外	かくがい
難産	なんざん
養蚕	ようさん
下段	げだん
乱世	らんせい
亡父	ぼうふ
優待	ゆうたい
全巻	ぜんかん
劇中	げきちゅう
厳冬	げんとう
厳正	げんせい
反骨	はんこつ
宗家	そうけ
密漁	みつりょう
小異	しょうい
恩義	おんぎ
拝見	はいけん
推力	すいりょく
服従	ふくじゅう
棒状	ぼうじょう
樹林	じゅりん
洋裁	ようさい
満腹	まんぷく
直射	ちょくしゃ
知己	ちき
禁欲	きんよく
秘策	ひさく
納屋	なや
納骨	のうこつ
裏庭	うらにわ
試射	ししゃ
退会	たいかい
難所	なんしょ
預言	よげん
骨太	ほねぶと
一樹	いちじゅ
乳業	にゅうぎょう
古傷	ふるきず
台詞	せりふ
土蔵	どぞう
存命	ぞんめい
座視	ざし
弁舌	べんぜつ
律義	りちぎ
従順	じゅうじゅん
悪党	あくとう
所存	しょぞん
拝観	はいかん
敵地	てきち
朝晩	あさばん
横穴	よこあな
正装	せいそう
潮風	しおかぜ
無敵	むてき
独奏	どくそう
現存	げんぞん
盛時	せいじ
筋金	すじがね
策略	さくりゃく
節操	せっそう
納期	のうき
聖典	せいてん
訳文	やくぶん
誤判	ごはん
論考	ろんこう
警務	けいむ
追善	ついぜん
退席	たいせき
過誤	かご
閉経	へいけい
音域	おんいき
領収	りょうしゅう
亡夫	ぼうふ
供出	きょうしゅつ
出窓	でまど
前座	ぜんざ
動詞	どうし
善人	ぜんにん
回覧	かいらん
在勤	ざいきん
小論	しょうろん
巻物	まきもの
座右	ざゆう
恩人	おんじん
支署	ししょ
敵役	かたきやく
敵視	てきし
権勢	けんせい
火傷	やけど
発券	はっけん
皇位	こうい
真砂	まさご
砂地	すなじ
私腹	しふく
紙片	しへん
臨検	りんけん
訳語	やくご
論語	ろんご
警棒	けいぼう
重奏	じゅうそう
閉口	へいこう
除雪	じょせつ
雑穀	ざっこく
難事	なんじ
首筋	くびすじ
上値	うわね
上納	じょうのう
冊数	さっすう
収束	しゅうそく
吸着	きゅうちゃく
大穴	おおあな
寒暖	かんだん
幼年	ようねん
幼時	ようじ
弁済	べんさい
当座	とうざ
情操	じょうそう
推察	すいさつ
枚挙	まいきょ
樹海	じゅかい
樹皮	じゅひ
段位	だんい
気骨	きこつ
洗足	せんそく
異母	いぼ
石段	いしだん
空論	くうろん
立党	りっとう
純情	じゅんじょう
翌週	よくしゅう
腹筋	ふっきん
臨港	りんこう
興亡	こうぼう
舌戦	ぜっせん
若宮	わかみや
装具	そうぐ
補導	ほどう
訳書	やくしょ
訳詞	やくし
追従	ついしょう
閉館	へいかん
降水	こうすい
七宝	しっぽう
乱軍	らんぐん
伝染	でんせん
供応	きょうおう
内奏	ないそう
利己	りこ
副将	ふくしょう
原著	げんちょ
同系	どうけい
吸入	きゅうにゅう
増補	ぞうほ
外勤	がいきん
大敵	たいてき
大著	たいちょ
奮戦	ふんせん
密告	みっこく
専念	せんねん
従前	じゅうぜん
恩典	おんてん
戦傷	せんしょう
投射	とうしゃ
接収	せっしゅう
推論	すいろん
晩期	ばんき
木片	もくへん
楽劇	がくげき
水難	すいなん
激流	げきりゅう
片目	かため
痛風	つうふう
盛夏	せいか
私利	しり
私情	しじょう
私欲	しよく
秘蔵	ひぞう
純然	じゅんぜん
習熟	しゅうじゅく
胸像	きょうぞう
自認	じにん
若木	わかぎ
若草	わかくさ
親権	しんけん
骨肉	こつにく
高貴	こうき
中幕	なかまく
乱打	らんだ
傷病	しょうびょう
切腹	せっぷく
劇薬	げきやく
同座	どうざ
否応	いやおう
大乱	たいらん
女装	じょそう
密造	みつぞう
寸劇	すんげき
小骨	こぼね
展観	てんかん
層群	そうぐん
市庁	しちょう
延納	えんのう
探鉱	たんこう
揮発	きはつ
日勤	にっきん
権化	ごんげ
毒舌	どくぜつ
民権	みんけん
活劇	かつげき
熱源	ねつげん
片面	かためん
痛打	つうだ
直視	ちょくし
税源	ぜいげん
臨終	りんじゅう
自警	じけい
至誠	しせい
若菜	わかな
血糖	けっとう
西域	せいいき
上座	かみざ
供物	くもつ
再訪	さいほう
卵管	らんかん
夏至	げし
奏楽	そうがく
座頭	ざがしら
弱視	じゃくし
従業	じゅうぎょう
成就	じょうじゅ
散乱	さんらん
敬愛	けいあい
未納	みのう
正座	せいざ
生卵	なまたまご
砂上	さじょう
磁性	じせい
私営	しえい
私用	しよう
策動	さくどう
糖類	とうるい
系図	けいず
縮減	しゅくげん
赤潮	あかしお
銀幕	ぎんまく
頭骨	とうこつ
類推	るいすい
骨身	ほねみ
一策	いっさく
不敵	ふてき
乳母	うば
乳酸	にゅうさん
内密	ないみつ
劇評	げきひょう
収受	しゅうじゅ
名詞	めいし
圧延	あつえん
子宝	こだから
学派	がくは
富貴	ふうき
対訳	たいやく
干満	かんまん
幼子	おさなご
律令	りつりょう
敵性	てきせい
映写	えいしゃ
残党	ざんとう
源平	げんぺい
片親	かたおや
私事	しじ
私信	ししん
筆舌	ひつぜつ
策士	さくし
納会	のうかい
純真	じゅんしん
船腹	せんぷく
葉巻	はまき
表装	ひょうそう
誤字	ごじ
車座	くるまざ
近視	きんし
返納	へんのう
退路	たいろ
郵船	ゆうせん
重宝	ちょうほう
頭頂	とうちょう
下座	げざ
乱造	らんぞう
仏閣	ぶっかく
冷厳	れいげん
別段	べつだん
副署	ふくしょ
可視	かし
大系	たいけい
宗祖	しゅうそ
専有	せんゆう
小腸	しょうちょう
序幕	じょまく
日射	にっしゃ
晩春	ばんしゅん
樹液	じゅえき
沿革	えんかく
泉水	せんすい
点呼	てんこ
皇軍	こうぐん
私達	わたしたち
穀類	こくるい
算段	さんだん
納品	のうひん
縦糸	たていと
若人	わこうど
血筋	ちすじ
車券	しゃけん
退出	たいしゅつ
開腹	かいふく
一存	いちぞん
主著	しゅちょ
全訳	ぜんやく
処世	しょせい
原寸	げんすん
