納戸	なんど
細密	さいみつ
絹糸	きぬいと
裏地	うらじ
除隊	じょたい
上背	うわぜい
乳液	にゅうえき
亡者	もうじゃ
分冊	ぶんさつ
危急	ききゅう
厳然	げんぜん
名将	めいしょう
和装	わそう
天幕	てんまく
奏法	そうほう
存否	ぞんぴ
宣教	せんきょう
密会	みっかい
密使	みっし
専心	せんしん
幕間	まくあい
忠孝	ちゅうこう
拝借	はいしゃく
探訪	たんぼう
敬服	けいふく
敬礼	けいれい
敵機	てっき
熱延	ねつえん
物欲	ぶつよく
男装	だんそう
直訳	ちょくやく
砂場	すなば
祝詞	のりと
窓外	そうがい
簡明	かんめい
純化	じゅんか
純正	じゅんせい
誤射	ごしゃ
退位	たいい
退化	たいか
酒蔵	さかぐら
難物	なんぶつ
食券	しょっけん
高潮	こうちょう
乳首	ちくび
先刻	せんこく
和訳	わやく
変装	へんそう
完熟	かんじゅく
密談	みつだん
小脳	しょうのう
工賃	こうちん
府庁	ふちょう
愛蔵	あいぞう
操車	そうしゃ
暖地	だんち
極論	きょくろん
水郷	すいごう
激情	げきじょう
盛会	せいかい
穴熊	あなぐま
翌春	よくしゅん
自腹	じばら
芸域	げいいき
蚕糸	さんし
視角	しかく
調律	ちょうりつ
警句	けいく
警笛	けいてき
貴人	きじん
貴社	きしゃ
退散	たいさん
通巻	つうかん
遺留	いりゅう
遺訓	いくん
万策	ばんさく
三宝	さんぼう
不純	ふじゅん
中値	なかね
亡国	ぼうこく
傷心	しょうしん
名訳	めいやく
善行	ぜんこう
天窓	てんまど
失敬	しっけい
官権	かんけん
後段	こうだん
拝礼	はいれい
授権	じゅけん
改宗	かいしゅう
敵前	てきぜん
早退	そうたい
昨晩	さくばん
晩夏	ばんか
暖流	だんりゅう
暴論	ぼうろん
書誌	しょし
模試	もし
樹上	じゅじょう
洗脳	せんのう
無我	むが
王権	おうけん
班員	はんいん
生乳	せいにゅう
砂岩	さがん
秘伝	ひでん
紅梅	こうばい
純銀	じゅんぎん
絹布	けんぷ
総覧	そうらん
聖者	せいじゃ
至宝	しほう
衆目	しゅうもく
誤植	ごしょく
論集	ろんしゅう
豆乳	とうにゅう
身銭	みぜに
難曲	なんきょく
難治	なんじ
創世	そうせい
卵形	らんけい
吸気	きゅうき
天覧	てんらん
専科	せんか
将官	しょうかん
巻紙	まきがみ
幼生	ようせい
所収	しょしゅう
所論	しょろん
早熟	そうじゅく
株屋	かぶや
武骨	ぶこつ
気密	きみつ
片時	かたとき
異説	いせつ
私兵	しへい
紅花	べにばな
綿棒	めんぼう
縮尺	しゅくしゃく
背面	はいめん
製糖	せいとう
認容	にんよう
論証	ろんしょう
中座	ちゅうざ
優生	ゆうせい
内勤	ないきん
前著	ぜんちょ
助詞	じょし
半熟	はんじゅく
取捨	しゅしゃ
地誌	ちし
完訳	かんやく
専横	せんおう
尊属	そんぞく
展覧	てんらん
幼魚	ようぎょ
座員	ざいん
座標	ざひょう
建値	たてね
樹氷	じゅひょう
