重症	じゅうしょう
闘志	とうし
雪辱	せつじょく
露骨	ろこつ
駐屯	ちゅうとん
丘陵	きゅうりょう
丹念	たんねん
交互	こうご
佳作	かさく
偏重	へんちょう
偶然	ぐうぜん
傷跡	きずあと
優雅	ゆうが
先遣	せんけん
先駆	せんく
処罰	しょばつ
到達	とうたつ
勝訴	しょうそ
匿名	とくめい
啓発	けいはつ
喪失	そうしつ
団塊	だんかい
圧倒	あっとう
垣根	かきね
埋蔵	まいぞう
寝室	しんしつ
屈指	くっし
山荘	さんそう
川端	かわばた
平穏	へいおん
廃絶	はいぜつ
徴兵	ちょうへい
情緒	じょうちょ
惨敗	ざんぱい
我慢	がまん
打診	だしん
抑圧	よくあつ
抗戦	こうせん
挫折	ざせつ
排気	はいき
掘削	くっさく
搭乗	とうじょう
新婚	しんこん
施工	せこう
施政	しせい
旋風	せんぷう
普遍	ふへん
更迭	こうてつ
本塁	ほんるい
検閲	けんえつ
欠如	けつじょ
残酷	ざんこく
民需	みんじゅ
気迫	きはく
浄水	じょうすい
浮上	ふじょう
減免	げんめん
湿原	しつげん
滑降	かっこう
焼却	しょうきゃく
病床	びょうしょう
症例	しょうれい
窮地	きゅうち
筒井	つつい
繊細	せんさい
缶詰	かんづめ
老齢	ろうれい
脱却	だっきゃく
芝生	しばふ
薬剤	やくざい
覇権	はけん
覇者	はしゃ
規範	きはん
解剖	かいぼう
豆腐	とうふ
賢明	けんめい
趣向	しゅこう
迫害	はくがい
遂行	すいこう
邪魔	じゃま
酪農	らくのう
陰謀	いんぼう
随所	ずいしょ
随時	ずいじ
震度	しんど
頻度	ひんど
顕彰	けんしょう
驚異	きょうい
一杯	いっぱい
一貫	いっかん
丈夫	じょうぶ
下痢	げり
不妊	ふにん
中越	ちゅうえつ
中軸	ちゅうじく
事柄	ことがら
享受	きょうじゅ
代償	だいしょう
伴奏	ばんそう
共謀	きょうぼう
円卓	えんたく
処刑	しょけい
北緯	ほくい
印鑑	いんかん
国賓	こくひん
圧迫	あっぱく
埋葬	まいそう
堤防	ていぼう
失跡	しっせき
奪取	だっしゅ
奪回	だっかい
奴隷	どれい
妊婦	にんぷ
媒体	ばいたい
嫌気	いやき
完了	かんりょう
工房	こうぼう
巧妙	こうみょう
巨匠	きょしょう
布陣	ふじん
希薄	きはく
弦楽	げんがく
御所	ごしょ
必需	ひつじゅ
忍耐	にんたい
急騰	きゅうとう
感慨	かんがい
懐疑	かいぎ
抽象	ちゅうしょう
暖房	だんぼう
更改	こうかい
果敢	かかん
栄誉	えいよ
検索	けんさく
歌謡	かよう
泥棒	どろぼう
渇水	かっすい
湿度	しつど
炉心	ろしん
無駄	むだ
熱狂	ねっきょう
片隅	かたすみ
犠打	ぎだ
狩猟	しゅりょう
猛攻	もうこう
獄中	ごくちゅう
畜産	ちくさん
疎開	そかい
監修	かんしゅう
監察	かんさつ
直撃	ちょくげき
砂浜	すなはま
竜王	りゅうおう
絶妙	ぜつみょう
総監	そうかん
緩急	かんきゅう
自称	じしょう
艦艇	かんてい
