遊撃	ゆうげき
銃声	じゅうせい
鎮圧	ちんあつ
陣頭	じんとう
随筆	ずいひつ
離島	りとう
零細	れいさい
顕在	けんざい
魅了	みりょう
一翼	いちよく
万歳	ばんざい
両替	りょうがえ
乳房	ちぶさ
互換	ごかん
侍従	じじゅう
侵犯	しんぱん
充満	じゅうまん
光沢	こうたく
円筒	えんとう
凝縮	ぎょうしゅく
凶器	きょうき
劣勢	れっせい
叙勲	じょくん
史跡	しせき
合繊	ごうせん
吹雪	ふぶき
周到	しゅうとう
困惑	こんわく
培養	ばいよう
大砲	たいほう
如実	にょじつ
妖怪	ようかい
威嚇	いかく
宮廷	きゅうてい
宰相	さいしょう
密猟	みつりょう
岸壁	がんぺき
巡礼	じゅんれい
役柄	やくがら
微動	びどう
怪獣	かいじゅう
愉快	ゆかい
感銘	かんめい
懲罰	ちょうばつ
抗告	こうこく
抗日	こうにち
採掘	さいくつ
推奨	すいしょう
教壇	きょうだん
旋律	せんりつ
既定	きてい
日没	にちぼつ
暗黙	あんもく
来賓	らいひん
果汁	かじゅう
栄冠	えいかん
没頭	ぼっとう
活況	かっきょう
浸水	しんすい
清涼	せいりょう
渓谷	けいこく
湿気	しっけ
演壇	えんだん
潜水	せんすい
炎症	えんしょう
玄米	げんまい
現況	げんきょう
痕跡	こんせき
破滅	はめつ
租税	そぜい
称号	しょうごう
粗末	そまつ
粘土	ねんど
胴体	どうたい
苦渋	くじゅう
融合	ゆうごう
訪欧	ほうおう
貨幣	かへい
贈与	ぞうよ
軍艦	ぐんかん
遠慮	えんりょ
遺影	いえい
還流	かんりゅう
醸造	じょうぞう
銃器	じゅうき
錯覚	さっかく
降伏	こうふく
隠滅	いんめつ
隣家	りんか
霊園	れいえん
露店	ろてん
青柳	あおやぎ
靴下	くつした
首謀	しゅぼう
高炉	こうろ
鮮度	せんど
鳥獣	ちょうじゅう
黒煙	こくえん
黒鉛	こくえん
世襲	せしゅう
余震	よしん
健診	けんしん
偽装	ぎそう
偽証	ぎしょう
催涙	さいるい
兼務	けんむ
分泌	ぶんぴつ
刑罰	けいばつ
即効	そっこう
叔母	おば
口癖	くちぐせ
同姓	どうせい
囚人	しゅうじん
回廊	かいろう
回忌	かいき
在籍	ざいせき
変換	へんかん
奉行	ぶぎょう
奔放	ほんぽう
威勢	いせい
娘婿	むすめむこ
嫡出	ちゃくしゅつ
宝飾	ほうしょく
容赦	ようしゃ
富裕	ふゆう
富豪	ふごう
巡航	じゅんこう
帆船	はんせん
延滞	えんたい
弾丸	だんがん
微笑	びしょう
必須	ひっす
怪物	かいぶつ
怪談	かいだん
懸賞	けんしょう
戦況	せんきょう
掌握	しょうあく
排他	はいた
換金	かんきん
放浪	ほうろう
敢闘	かんとう
敷設	ふせつ
書斎	しょさい
有償	ゆうしょう
服飾	ふくしょく
東邦	とうほう
核酸	かくさん
樹齢	じゅれい
歓喜	かんき
湖沼	こしょう
満喫	まんきつ
溶接	ようせつ
登載	とうさい
盲人	もうじん
真偽	しんぎ
真摯	しんし
碑文	ひぶん
稚魚	ちぎょ
突出	とっしゅつ
突進	とっしん
粗鋼	そこう
索引	さくいん
紫色	むらさきいろ
網膜	もうまく
縁起	えんぎ
耐性	たいせい
苗木	なえぎ
葬祭	そうさい
虚構	きょこう
裕福	ゆうふく
褐色	かっしょく
要衝	ようしょう
誘惑	ゆうわく
論拠	ろんきょ
起伏	きふく
輩出	はいしゅつ
追撃	ついげき
道端	みちばた
酷似	こくじ
鎖国	さこく
陣中	じんちゅう
随員	ずいいん
雄弁	ゆうべん
雪崩	なだれ
魔法	まほう
不詳	ふしょう
中執	ちゅうしつ
乱獲	らんかく
乱闘	らんとう
乾杯	かんぱい
先陣	せんじん
免責	めんせき
党籍	とうせき
劣化	れっか
劣悪	れつあく
北端	ほくたん
占拠	せんきょ
受診	じゅしん
善隣	ぜんりん
喫茶	きっさ
噴煙	ふんえん
境遇	きょうぐう
多忙	たぼう
奇襲	きしゅう
嫌疑	けんぎ
寄与	きよ
寄贈	きぞう
屈託	くったく
崩落	ほうらく
座敷	ざしき
微細	びさい
微量	びりょう
怠慢	たいまん
恐慌	きょうこう
息吹	いぶき
悲哀	ひあい
惨状	さんじょう
技巧	ぎこう
抗原	こうげん
拙速	せっそく
授与	じゅよ
搬送	はんそう
気概	きがい
水稲	すいとう
浜辺	はまべ
海浜	かいひん
満杯	まんぱい
演舞	えんぶ
激突	げきとつ
火葬	かそう
煮物	にもの
狂気	きょうき
猛威	もうい
理髪	りはつ
環状	かんじょう
短絡	たんらく
破棄	はき
祭壇	さいだん
空砲	くうほう
粘膜	ねんまく
精鋭	せいえい
累進	るいしん
聴講	ちょうこう
肝要	かんよう
腐心	ふしん
腕前	うでまえ
致死	ちし
舗装	ほそう
花柳	かりゅう
荒波	あらなみ
衝動	しょうどう
請負	うけおい
象牙	ぞうげ
賓客	ひんきゃく
躍動	やくどう
軟化	なんか
転倒	てんとう
送迎	そうげい
連峰	れんぽう
過敏	かびん
過渡	かと
郷愁	きょうしゅう
重鎮	じゅうちん
鎮魂	ちんこん
閑散	かんさん
陣容	じんよう
陥没	かんぼつ
随一	ずいいち
隔週	かくしゅう
離反	りはん
離散	りさん
震動	しんどう
髪形	かみがた
鮮烈	せんれつ
両腕	りょううで
主審	しゅしん
人影	ひとかげ
介在	かいざい
仏壇	ぶつだん
伏線	ふくせん
余韻	よいん
侮辱	ぶじょく
修繕	しゅうぜん
偉業	いぎょう
停泊	ていはく
儒教	じゅきょう
公称	こうしょう
兼任	けんにん
円盤	えんばん
再婚	さいこん
即刻	そっこく
即興	そっきょう
原潜	げんせん
叙情	じょじょう
吐露	とろ
国是	こくぜ
執着	しゅうちゃく
奮闘	ふんとう
妖精	ようせい
寛大	かんだい
寡占	かせん
帝政	ていせい
師範	しはん
常駐	じょうちゅう
廃業	はいぎょう
急伸	きゅうしん
悪臭	あくしゅう
憤慨	ふんがい
戦艦	せんかん
手錠	てじょう
抗菌	こうきん
排斥	はいせき
掲揚	けいよう
損壊	そんかい
新郎	しんろう
昼寝	ひるね
晩婚	ばんこん
暴露	ばくろ
枠外	わくがい
桟橋	さんばし
椅子	いす
残塁	ざんるい
殿様	とのさま
浪費	ろうひ
淡泊	たんぱく
滝川	たきがわ
漠然	ばくぜん
濃淡	のうたん
無謀	むぼう
玩具	おもちゃ
球菌	きゅうきん
異端	いたん
疲弊	ひへい
痛恨	つうこん
矛先	ほこさき
矯正	きょうせい
祈願	きがん
神妙	しんみょう
神殿	しんでん
禅寺	ぜんでら
窮屈	きゅうくつ
端緒	たんしょ
精巧	せいこう
系譜	けいふ
紛糾	ふんきゅう
続伸	ぞくしん
罷免	ひめん
落胆	らくたん
血痕	けっこん
行脚	あんぎゃ
襲名	しゅうめい
触媒	しょくばい
訴追	そつい
誓約	せいやく
貸与	たいよ
贈答	ぞうとう
起債	きさい
越冬	えっとう
軽震	けいしん
逆襲	ぎゃくしゅう
透析	とうせき
逓信	ていしん
選奨	せんしょう
金網	かなあみ
鉄砲	てっぽう
餓死	がし
高架	こうか
高瀬	たかせ
魔女	まじょ
一泊	いっぱく
不眠	ふみん
不穏	ふおん
両端	りょうたん
中尉	ちゅうい
亜鉛	あえん
人為	じんい
伏兵	ふくへい
伯父	おじ
作柄	さくがら
偶発	ぐうはつ
充当	じゅうとう
充足	じゅうそく
公訴	こうそ
冷淡	れいたん
剣士	けんし
卓越	たくえつ
即席	そくせき
厄介	やっかい
同伴	どうはん
喚起	かんき
噴射	ふんしゃ
堀川	ほりかわ
外需	がいじゅ
奉公	ほうこう
奥地	おくち
委嘱	いしょく
嫌悪	けんお
存廃	そんぱい
小僧	こぞう
巨体	きょたい
