彩色	さいしき
悲壮	ひそう
慈善	じぜん
戒告	かいこく
折衷	せっちゅう
掃討	そうとう
敢行	かんこう
文壇	ぶんだん
斉唱	せいしょう
日陰	ひかげ
検疫	けんえき
楼閣	ろうかく
橋脚	きょうきゃく
気筒	きとう
水爆	すいばく
沈着	ちんちゃく
没収	ぼっしゅう
海賊	かいぞく
添乗	てんじょう
溶液	ようえき
激怒	げきど
炎天	えんてん
煩雑	はんざつ
爆竹	ばくちく
狂乱	きょうらん
王妃	おうひ
由緒	ゆいしょ
盆地	ぼんち
盗賊	とうぞく
砲火	ほうか
称賛	しょうさん
稲田	いなだ
立脚	りっきゃく
筆跡	ひっせき
紡績	ぼうせき
総帥	そうすい
聴聞	ちょうもん
胆石	たんせき
脱水	だっすい
脱落	だつらく
脱走	だっそう
藩主	はんしゅ
覆面	ふくめん
軽妙	けいみょう
迫撃	はくげき
逸脱	いつだつ
邦画	ほうが
邸宅	ていたく
闘士	とうし
防弾	ぼうだん
陣痛	じんつう
陳列	ちんれつ
陳謝	ちんしゃ
隆盛	りゅうせい
隔月	かくげつ
雄大	ゆうだい
離宮	りきゅう
離職	りしょく
難聴	なんちょう
雷雨	らいう
電卓	でんたく
電撃	でんげき
頭髪	とうはつ
風呂	ふろ
飽和	ほうわ
飽食	ほうしょく
駆除	くじょ
鮮魚	せんぎょ
鶏肉	とりにく
互助	ごじょ
伯爵	はくしゃく
併設	へいせつ
倒閣	とうかく
偽物	にせもの
傾注	けいちゅう
凝固	ぎょうこ
出塁	しゅつるい
出撃	しゅつげき
利潤	りじゅん
勧奨	かんしょう
即売	そくばい
呉服	ごふく
国柄	くにがら
壮年	そうねん
壮行	そうこう
大抵	たいてい
奇抜	きばつ
奇異	きい
寝台	しんだい
小幅	こはば
山陰	やまかげ
岩盤	がんばん
廃材	はいざい
弁慶	べんけい
弔辞	ちょうじ
彼岸	ひがん
征服	せいふく
愚痴	ぐち
手薄	てうす
拍子	ひょうし
拘禁	こうきん
早瀬	はやせ
更正	こうせい
本籍	ほんせき
機敏	きびん
殴打	おうだ
気鋭	きえい
汎用	はんよう
汚水	おすい
治癒	ちゆ
浄土	じょうど
浮気	うわき
浮沈	ふちん
消耗	しょうもう
清浄	せいじょう
爆笑	ばくしょう
爆音	ばくおん
猛打	もうだ
献上	けんじょう
獲物	えもの
生還	せいかん
甲板	かんぱん
硬式	こうしき
祝儀	しゅうぎ
突起	とっき
突風	とっぷう
競艇	きょうてい
絶縁	ぜつえん
縫製	ほうせい
肉薄	にくはく
脱硫	だつりゅう
蛇口	じゃぐち
衰弱	すいじゃく
角膜	かくまく
賜杯	しはい
起床	きしょう
跳躍	ちょうやく
近況	きんきょう
通販	つうはん
適齢	てきれい
遷都	せんと
長唄	ながうた
門扉	もんぴ
間伐	かんばつ
防疫	ぼうえき
阻害	そがい
陰口	かげぐち
隣室	りんしつ
駄目	だめ
騎士	きし
騎馬	きば
両翼	りょうよく
主翼	しゅよく
乾期	かんき
倒壊	とうかい
兼業	けんぎょう
冷媒	れいばい
凡退	ぼんたい
凹凸	おうとつ
卑劣	ひれつ
口臭	こうしゅう
古豪	こごう
吉兆	きっちょう
同封	どうふう
名鑑	めいかん
困窮	こんきゅう
塾生	じゅくせい
奥様	おくさま
威圧	いあつ
孔子	こうし
定款	ていかん
宴席	えんせき
寄稿	きこう
密葬	みっそう
崇拝	すうはい
帝王	ていおう
年鑑	ねんかん
廃校	はいこう
廃車	はいしゃ
弱震	じゃくしん
弾痕	だんこん
怨念	おんねん
患部	かんぶ
惨禍	さんか
慰労	いろう
慰問	いもん
慰留	いりゅう
携行	けいこう
歳費	さいひ
浪曲	ろうきょく
添付	てんぷ
添加	てんか
渡米	とべい
溶剤	ようざい
滝口	たきぐち
激烈	げきれつ
濃密	のうみつ
特撮	とくさつ
疎遠	そえん
真剣	しんけん
神髄	しんずい
稲穂	いなほ
空欄	くうらん
簿外	ぼがい
絵柄	えがら
総称	そうしょう
耐震	たいしん
脚色	きゃくしょく
脱党	だっとう
腐食	ふしょく
腕力	わんりょく
苦闘	くとう
荒野	こうや
落雷	らくらい
豪語	ごうご
豪邸	ごうてい
販路	はんろ
軽微	けいび
返却	へんきゃく
逸材	いつざい
遅刻	ちこく
酒販	しゅはん
野蛮	やばん
陰影	いんえい
随意	ずいい
離合	りごう
震災	しんさい
鼓舞	こぶ
一撃	いちげき
亡霊	ぼうれい
休眠	きゅうみん
併記	へいき
偏向	へんこう
優劣	ゆうれつ
全盲	ぜんもう
全裸	ぜんら
冷酷	れいこく
到底	とうてい
勧業	かんぎょう
却下	きゃっか
反抗	はんこう
地殻	ちかく
坑内	こうない
型枠	かたわく
堅固	けんご
壮絶	そうぜつ
威厳	いげん
婚礼	こんれい
嫉妬	しっと
孫娘	まごむすめ
尽力	じんりょく
履修	りしゅう
巨木	きょぼく
床上	ゆかうえ
廃刊	はいかん
廉売	れんばい
弱腰	よわごし
御殿	ごてん
御用	ごよう
忠魂	ちゅうこん
恩賜	おんし
戒名	かいみょう
扇子	せんす
払拭	ふっしょく
抵当	ていとう
搬出	はんしゅつ
新譜	しんぷ
桑畑	くわばたけ
概況	がいきょう
歳末	さいまつ
水晶	すいしょう
沈痛	ちんつう
溶解	ようかい
滅亡	めつぼう
潜伏	せんぷく
火炎	かえん
爆風	ばくふう
特需	とくじゅ
画伯	がはく
盛衰	せいすい
監事	かんじ
硫酸	りゅうさん
硬軟	こうなん
稲妻	いなずま
稲荷	いなり
突発	とっぱつ
端正	たんせい
紛失	ふんしつ
胆汁	たんじゅう
自戒	じかい
自滅	じめつ
艦長	かんちょう
花壇	かだん
草稿	そうこう
菊花	きっか
蛍光	けいこう
行儀	ぎょうぎ
謄本	とうほん
負託	ふたく
軟弱	なんじゃく
軸足	じくあし
逃避	とうひ
途端	とたん
進駐	しんちゅう
逸話	いつわ
遊戯	ゆうぎ
邦訳	ほうやく
酷暑	こくしょ
金塊	きんかい
錠剤	じょうざい
長髪	ちょうはつ
随行	ずいこう
隔年	かくねん
雅楽	ががく
雑踏	ざっとう
露出	ろしゅつ
露天	ろてん
魔術	まじゅつ
黙秘	もくひ
鼓動	こどう
一滴	いってき
井筒	いづつ
交歓	こうかん
併発	へいはつ
俳壇	はいだん
値幅	ねはば
偽善	ぎぜん
僧侶	そうりょ
優越	ゆうえつ
先般	せんぱん
党是	とうぜ
凡人	ぼんじん
初恋	はつこい
刺殺	しさつ
勇敢	ゆうかん
占有	せんゆう
厳罰	げんばつ
右端	みぎはし
哀愁	あいしゅう
噴水	ふんすい
国葬	こくそう
坑道	こうどう
埋設	まいせつ
城壁	じょうへき
堅守	けんしゅ
堆肥	たいひ
壁紙	かべがみ
外堀	そとぼり
大柄	おおがら
妄想	もうそう
媒介	ばいかい
孤島	ことう
寡黙	かもく
寮生	りょうせい
封印	ふういん
尋常	じんじょう
小舟	こぶね
強襲	きょうしゅう
後悔	こうかい
徴税	ちょうぜい
忍者	にんじゃ
思索	しさく
拓殖	たくしょく
排煙	はいえん
探索	たんさく
文豪	ぶんごう
旬報	じゅんぽう
末尾	まつび
本棚	ほんだな
柔和	にゅうわ
死闘	しとう
沈滞	ちんたい
沢辺	さわべ
法曹	ほうそう
洞察	どうさつ
流儀	りゅうぎ
海藻	かいそう
渡来	とらい
漸進	ぜんしん
激震	げきしん
炊事	すいじ
無菌	むきん
狙撃	そげき
猛毒	もうどく
画壇	がだん
禍根	かこん
種痘	しゅとう
突如	とつじょ
精錬	せいれん
結審	けっしん
繁盛	はんじょう
肩身	かたみ
背丈	せたけ
脂質	ししつ
脈拍	みゃくはく
腫瘍	しゅよう
花瓶	かびん
芳香	ほうこう
苦杯	くはい
薄膜	うすまく
