被服	ひふく
諸般	しょはん
譜面	ふめん
跳馬	ちょうば
退廃	たいはい
避暑	ひしょ
鋭利	えいり
閉塞	へいそく
静寂	せいじゃく
世俗	せぞく
仮眠	かみん
伸長	しんちょう
依拠	いきょ
兼用	けんよう
冠水	かんすい
准将	じゅんしょう
卓上	たくじょう
危篤	きとく
即答	そくとう
品薄	しなうす
嘆願	たんがん
地縁	ちえん
失墜	しっつい
如来	にょらい
威光	いこう
寝技	ねわざ
屈服	くっぷく
巧者	こうしゃ
巨費	きょひ
帆走	はんそう
幻影	げんえい
幾分	いくぶん
幾重	いくえ
当惑	とうわく
彼方	かなた
徴用	ちょうよう
忌避	きひ
恣意	しい
慈悲	じひ
手綱	たづな
散弾	さんだん
旋回	せんかい
既刊	きかん
昆布	こんぶ
書棚	しょだな
木陰	こかげ
未了	みりょう
桟敷	さじき
毛髪	もうはつ
浪速	なにわ
涼風	りょうふう
渓流	けいりゅう
焦燥	しょうそう
爆心	ばくしん
爆薬	ばくやく
献身	けんしん
甲羅	こうら
異臭	いしゅう
発泡	はっぽう
盗掘	とうくつ
盲点	もうてん
石畳	いしだたみ
砂丘	さきゅう
硝酸	しょうさん
硬化	こうか
稼業	かぎょう
稽古	けいこ
端子	たんし
粉砕	ふんさい
粗大	そだい
粛清	しゅくせい
紺屋	こうや
耐火	たいか
胃袋	いぶくろ
薄板	うすいた
蛇行	だこう
謹慎	きんしん
追突	ついとつ
退避	たいひ
逐一	ちくいち
遮断	しゃだん
金剛	こんごう
金髪	きんぱつ
鋳型	いがた
長靴	ながぐつ
闘牛	とうぎゅう
陰湿	いんしつ
隠居	いんきょ
雌雄	しゆう
養鶏	ようけい
一巡	いちじゅん
不屈	ふくつ
不慮	ふりょ
交尾	こうび
作為	さくい
冷徹	れいてつ
刀剣	とうけん
刑期	けいき
別途	べっと
勇壮	ゆうそう
卸値	おろしね
収監	しゅうかん
命綱	いのちづな
城跡	しろあと
堕落	だらく
変貌	へんぼう
大帝	たいてい
奇形	きけい
実需	じつじゅ
尼僧	にそう
山奥	やまおく
崇高	すうこう
平凡	へいぼん
庶務	しょむ
廃品	はいひん
廃油	はいゆ
弔意	ちょうい
強奪	ごうだつ
微熱	びねつ
快諾	かいだく
怒号	どごう
怪人	かいじん
惨劇	さんげき
惰性	だせい
意匠	いしょう
手柄	てがら
手狭	てぜま
挿入	そうにゅう
援軍	えんぐん
敵陣	てきじん
斬新	ざんしん
既設	きせつ
時宜	じぎ
枯渇	こかつ
架線	かせん
棋風	きふう
欠乏	けつぼう
汚点	おてん
油脂	ゆし
沼田	ぬまた
注釈	ちゅうしゃく
洞窟	どうくつ
海抜	かいばつ
涙声	なみだごえ
漆器	しっき
焦土	しょうど
焼酎	しょうちゅう
物腰	ものごし
物騒	ぶっそう
猟銃	りょうじゅう
玄人	くろうと
王冠	おうかん
男爵	だんしゃく
病患	びょうかん
登壇	とうだん
眠気	ねむけ
眺望	ちょうぼう
神棚	かみだな
私塾	しじゅく
突撃	とつげき
竜巻	たつまき
符合	ふごう
筆致	ひっち
米審	べいしん
米寿	べいじゅ
糾弾	きゅうだん
納采	のうさい
絶叫	ぜっきょう
縁故	えんこ
肢体	したい
般若	はんにゃ
誇大	こだい
論陣	ろんじん
謀略	ぼうりゃく
軽症	けいしょう
逸品	いっぴん
酢酸	さくさん
鉄腕	てつわん
銃殺	じゅうさつ
鋳物	いもの
陣幕	じんまく
隔壁	かくへき
隠密	おんみつ
霊長	れいちょう
革靴	かわぐつ
飛脚	ひきゃく
一抹	いちまつ
一隅	いちぐう
下駄	げた
不滅	ふめつ
中震	ちゅうしん
人垣	ひとがき
会葬	かいそう
伯母	おば
伴走	ばんそう
侵食	しんしょく
信販	しんぱん
側溝	そっこう
傍観	ぼうかん
儀典	ぎてん
先鋭	せんえい
切迫	せっぱく
名跡	めいせき
和尚	おしょう
変幻	へんげん
外債	がいさい
女婿	じょせい
妙案	みょうあん
審問	しんもん
尾翼	びよく
山肌	やまはだ
川尻	かわじり
幻覚	げんかく
幾多	いくた
座禅	ざぜん
廉価	れんか
影絵	かげえ
徐行	じょこう
怒声	どせい
惜敗	せきはい
愛憎	あいぞう
慶祝	けいしゅく
戒律	かいりつ
扇動	せんどう
抹消	まっしょう
振幅	しんぷく
捕逸	ほいつ
改称	かいしょう
放漫	ほうまん
数珠	じゅず
敷金	しききん
映倫	えいりん
機微	きび
歌壇	かだん
死没	しぼつ
殉教	じゅんきょう
残忍	ざんにん
水滴	すいてき
河畔	かはん
濃霧	のうむ
火砲	かほう
猛追	もうつい
珠算	しゅざん
甚大	じんだい
疎外	そがい
祝宴	しゅくえん
秀逸	しゅういつ
種苗	しゅびょう
精霊	しょうりょう
約款	やっかん
緩慢	かんまん
緯度	いど
脈絡	みゃくらく
脊椎	せきつい
脱会	だっかい
荒巻	あらまき
薄氷	はくひょう
虚像	きょぞう
血栓	けっせん
親戚	しんせき
詐称	さしょう
誇張	こちょう
論旨	ろんし
豪族	ごうぞく
貝殻	かいがら
辛酸	しんさん
迷彩	めいさい
遍歴	へんれき
酵母	こうぼ
鈍感	どんかん
鋳造	ちゅうぞう
閑静	かんせい
防腐	ぼうふ
随分	ずいぶん
頑丈	がんじょう
騎乗	きじょう
骨盤	こつばん
高峰	こうほう
鯨肉	げいにく
一尉	いちい
不吉	ふきつ
乱伐	らんばつ
付託	ふたく
供託	きょうたく
信奉	しんぽう
傑出	けっしゅつ
免罪	めんざい
凍土	とうど
包含	ほうがん
千尋	せんじん
四肢	しし
圏外	けんがい
執事	しつじ
孤高	ここう
学齢	がくれい
寝袋	ねぶくろ
履物	はきもの
川瀬	かわせ
巨悪	きょあく
常軌	じょうき
干拓	かんたく
年譜	ねんぷ
廃船	はいせん
強肩	きょうけん
忙殺	ぼうさつ
悠久	ゆうきゅう
抗弁	こうべん
撃破	げきは
敢然	かんぜん
数奇	すうき
斜陽	しゃよう
旧暦	きゅうれき
旧跡	きゅうせき
早苗	さなえ
昇級	しょうきゅう
校閲	こうえつ
棋譜	きふ
殖産	しょくさん
気泡	きほう
水没	すいぼつ
江上	こうじょう
没落	ぼつらく
浅瀬	あさせ
浮動	ふどう
清澄	せいちょう
減俸	げんぽう
減刑	げんけい
渡仏	とふつ
無臭	むしゅう
牧畜	ぼくちく
猿人	えんじん
珍重	ちんちょう
球審	きゅうしん
生粋	きっすい
疾走	しっそう
碁盤	ごばん
禁忌	きんき
素描	そびょう
絞殺	こうさつ
縁談	えんだん
聴力	ちょうりょく
胎内	たいない
花婿	はなむこ
藻類	そうるい
訃報	ふほう
試掘	しくつ
