汚物	おぶつ
浸食	しんしょく
潤沢	じゅんたく
激甚	げきじん
無援	むえん
熟慮	じゅくりょ
片腕	かたうで
畿内	きない
白浜	しらはま
直訴	じきそ
瞳孔	どうこう
研磨	けんま
禅宗	ぜんしゅう
精華	せいか
紋章	もんしょう
網戸	あみど
縁側	えんがわ
習俗	しゅうぞく
耐熱	たいねつ
胎動	たいどう
脱毛	だつもう
脱臭	だっしゅう
船尾	せんび
華道	かどう
触手	しょくしゅ
誘因	ゆういん
豪雪	ごうせつ
貝塚	かいづか
賢所	かしこどころ
軒先	のきさき
迫真	はくしん
追憶	ついおく
鍛錬	たんれん
雄姿	ゆうし
静穏	せいおん
非凡	ひぼん
頑強	がんきょう
魔力	まりょく
不遇	ふぐう
中垣	なかがき
丸腰	まるごし
依願	いがん
偶数	ぐうすう
催促	さいそく
内偵	ないてい
凝視	ぎょうし
凶暴	きょうぼう
凸版	とっぱん
別邸	べってい
割譲	かつじょう
占師	うらないし
即応	そくおう
反騰	はんとう
右傾	うけい
呪縛	じゅばく
呪術	じゅじゅつ
壊死	えし
夢幻	むげん
対称	たいしょう
封建	ほうけん
封殺	ふうさつ
小鉢	こばち
屈折	くっせつ
平衡	へいこう
廃坑	はいこう
弾性	だんせい
慶弔	けいちょう
戯画	ぎが
扶桑	ふそう
握力	あくりょく
撃退	げきたい
敷居	しきい
昇任	しょうにん
暗闘	あんとう
束縛	そくばく
気丈	きじょう
浄財	じょうざい
浮力	ふりょく
淑女	しゅくじょ
淑徳	しゅくとく
滑落	かつらく
漂着	ひょうちゃく
漫談	まんだん
濃紺	のうこん
点滅	てんめつ
無為	むい
狭間	はざま
盗作	とうさく
石碑	せきひ
硫化	りゅうか
秀才	しゅうさい
素肌	すはだ
結露	けつろ
緩衝	かんしょう
繁忙	はんぼう
肌着	はだぎ
脚力	きゃくりょく
英俊	えいしゅん
英霊	えいれい
荘厳	そうごん
要塞	ようさい
観閲	かんえつ
詳述	しょうじゅつ
語尾	ごび
謀議	ぼうぎ
貴賓	きひん
赤痢	せきり
跡形	あとかた
軍曹	ぐんそう
軽薄	けいはく
逝去	せいきょ
遊郭	ゆうかく
遺稿	いこう
野獣	やじゅう
鉄塔	てっとう
銃砲	じゅうほう
隔絶	かくぜつ
雄花	おばな
雑菌	ざっきん
離別	りべつ
音盤	おんばん
頒布	はんぷ
養豚	ようとん
駆逐	くちく
高僧	こうそう
黙示	もくし
一喝	いっかつ
両雄	りょうゆう
乱舞	らんぶ
互選	ごせん
仙人	せんにん
僚友	りょうゆう
全壊	ぜんかい
全幅	ぜんぷく
冬眠	とうみん
凍傷	とうしょう
出超	しゅっちょう
初診	しょしん
別棟	べつむね
北郊	ほっこう
半壊	はんかい
双発	そうはつ
右舷	うげん
堆積	たいせき
増幅	ぞうふく
壮観	そうかん
変哲	へんてつ
奉納	ほうのう
安穏	あんのん
官吏	かんり
少尉	しょうい
峡谷	きょうこく
座礁	ざしょう
廃屋	はいおく
微力	びりょく
怪奇	かいき
悪霊	あくりょう
悲恋	ひれん
承継	しょうけい
抹茶	まっちゃ
搾取	さくしゅ
摂理	せつり
散逸	さんいつ
施主	せしゅ
日傘	ひがさ
服喪	ふくも
朝廷	ちょうてい
栄華	えいが
楽壇	がくだん
機銃	きじゅう
比喩	ひゆ
水泡	すいほう
決壊	けっかい
決闘	けっとう
添削	てんさく
溶融	ようゆう
漂泊	ひょうはく
濁流	だくりゅう
無冠	むかん
珍味	ちんみ
珠玉	しゅぎょく
産廃	さんぱい
石棺	せっかん
砲声	ほうせい
社殿	しゃでん
簿記	ぼき
結託	けったく
絶壁	ぜっぺき
網羅	もうら
翻意	ほんい
脇役	わきやく
脱線	だっせん
蔑視	べっし
虚無	きょむ
虚脱	きょだつ
裁縫	さいほう
触覚	しょっかく
誘発	ゆうはつ
賭博	とばく
軒下	のきした
軟調	なんちょう
追尾	ついび
進呈	しんてい
適宜	てきぎ
鋭角	えいかく
開廷	かいてい
陰性	いんせい
陳腐	ちんぷ
陵墓	りょうぼ
零敗	れいはい
霊前	れいぜん
霊感	れいかん
頻発	ひんぱつ
風鈴	ふうりん
鬼才	きさい
一徹	いってつ
丹精	たんせい
仰天	ぎょうてん
侍医	じい
倹約	けんやく
傲慢	ごうまん
全滅	ぜんめつ
公爵	こうしゃく
出廷	しゅってい
初婚	しょこん
前傾	ぜんけい
割賦	かっぷ
南郊	なんこう
即断	そくだん
原審	げんしん
原簿	げんぼ
含蓄	がんちく
国威	こくい
土偶	どぐう
地唄	じうた
地肌	じはだ
堕胎	だたい
大凶	だいきょう
大吉	だいきち
失恋	しつれん
奇術	きじゅつ
家紋	かもん
寄託	きたく
寿司	すし
小粒	こつぶ
幻滅	げんめつ
往診	おうしん
恋文	こいぶみ
恒星	こうせい
愚行	ぐこう
戦端	せんたん
排外	はいがい
援用	えんよう
昇降	しょうこう
曖昧	あいまい
植栽	しょくさい
欄外	らんがい
汚泥	おでい
沈静	ちんせい
沢地	さわち
海溝	かいこう
清廉	せいれん
滑稽	こっけい
煮汁	にじる
熱闘	ねっとう
猛爆	もうばく
玉砕	ぎょくさい
環礁	かんしょう
異彩	いさい
疫病	えきびょう
発汗	はっかん
白壁	しらかべ
皮脂	ひし
盤面	ばんめん
砲兵	ほうへい
空虚	くうきょ
突貫	とっかん
窮乏	きゅうぼう
窯業	ようぎょう
符号	ふごう
策謀	さくぼう
精緻	せいち
緻密	ちみつ
縁日	えんにち
肌身	はだみ
自壊	じかい
自炊	じすい
舞楽	ぶがく
良俗	りょうぞく
芝草	しばくさ
襲来	しゅうらい
解凍	かいとう
諾否	だくひ
譲与	じょうよ
邪道	じゃどう
鉱床	こうしょう
鋭敏	えいびん
鎮守	ちんじゅ
鎮定	ちんてい
長征	ちょうせい
除湿	じょしつ
随想	ずいそう
離日	りにち
魅惑	みわく
魚雷	ぎょらい
黒髪	くろかみ
黙殺	もくさつ
鼓膜	こまく
両刃	もろは
亜流	ありゅう
交響	こうきょう
任免	にんめん
伸縮	しんしゅく
佳境	かきょう
偽名	ぎめい
全貌	ぜんぼう
兵糧	ひょうろう
内諾	ないだく
冗舌	じょうぜつ
出刃	でば
加齢	かれい
即死	そくし
及第	きゅうだい
反攻	はんこう
召使	めしつかい
哲人	てつじん
商魂	しょうこん
塁審	るいしん
墨絵	すみえ
姓名	せいめい
媒酌	ばいしゃく
子猫	こねこ
岩肌	いわはだ
左舷	さげん
幻惑	げんわく
彼氏	かれし
微弱	びじゃく
悲嘆	ひたん
感嘆	かんたん
憤激	ふんげき
投獄	とうごく
担架	たんか
暦年	れきねん
本旨	ほんし
概観	がいかん
歓談	かんだん
殺到	さっとう
母艦	ぼかん
浮世	うきよ
滞留	たいりゅう
潔癖	けっぺき
特赦	とくしゃ
瑠璃	るり
甘受	かんじゅ
発露	はつろ
盲腸	もうちょう
督促	とくそく
粗悪	そあく
統帥	とうすい
綱紀	こうき
網目	あみめ
縁者	えんじゃ
翻弄	ほんろう
翻案	ほんあん
老婆	ろうば
臭気	しゅうき
葬列	そうれつ
藩士	はんし
被覆	ひふく
裸眼	らがん
賄賂	わいろ
越権	えっけん
跡目	あとめ
躍如	やくじょ
透過	とうか
途絶	とぜつ
遭遇	そうぐう
醜態	しゅうたい
銘記	めいき
鑑識	かんしき
陣屋	じんや
隠匿	いんとく
雑炊	ぞうすい
雷雲	らいうん
香炉	こうろ
驚嘆	きょうたん
鼻炎	びえん
一蹴	いっしゅう
主賓	しゅひん
乾物	かんぶつ
休診	きゅうしん
体臭	たいしゅう
俊英	しゅんえい
俳諧	はいかい
偶像	ぐうぞう
傍受	ぼうじゅ
僧堂	そうどう
円環	えんかん
凡打	ぼんだ
前駆	ぜんく
