友邦	ゆうほう
喚声	かんせい
喜寿	きじゅ
四隅	よすみ
墓碑	ぼひ
墳墓	ふんぼ
多湿	たしつ
奇数	きすう
奥底	おくそこ
女帝	じょてい
妙味	みょうみ
威容	いよう
家柄	いえがら
寮母	りょうぼ
廃液	はいえき
御礼	おれい
微風	そよかぜ
恋心	こいごころ
感涙	かんるい
投了	とうりょう
拘留	こうりゅう
拳銃	けんじゅう
挿話	そうわ
排便	はいべん
排卵	はいらん
揚力	ようりょく
教唆	きょうさ
旋盤	せんばん
暗躍	あんやく
本葬	ほんそう
杉林	すぎばやし
枢軸	すうじく
楷書	かいしょ
機軸	きじく
殺陣	たて
水筒	すいとう
法被	はっぴ
波浪	はろう
満悦	まんえつ
烈震	れっしん
独房	どくぼう
猛獣	もうじゅう
珍品	ちんぴん
甘口	あまくち
甘美	かんび
生垣	いけがき
白亜	はくあ
盗品	とうひん
硬筆	こうひつ
稿料	こうりょう
窮余	きゅうよ
米粒	こめつぶ
糾合	きゅうごう
紫紺	しこん
緒戦	しょせん
縁組	えんぐみ
胞子	ほうし
自薦	じせん
興隆	こうりゅう
舟橋	ふなばし
航跡	こうせき
花押	かおう
荒事	あらごと
荒天	こうてん
華族	かぞく
蛮行	ばんこう
蜜月	みつげつ
製菓	せいか
託宣	たくせん
誇示	こじ
誘引	ゆういん
語彙	ごい
論壇	ろんだん
謀反	むほん
謡曲	ようきょく
超人	ちょうじん
足袋	たび
車軸	しゃじく
迎合	げいごう
遅配	ちはい
銃剣	じゅうけん
陶酔	とうすい
隔世	かくせい
霊魂	れいこん
露地	ろじ
露見	ろけん
音痴	おんち
一介	いっかい
一睡	いっすい
亜種	あしゅ
低廉	ていれん
入超	にゅうちょう
兼職	けんしょく
内壁	ないへき
凶弾	きょうだん
出征	しゅっせい
分与	ぶんよ
別項	べっこう
前項	ぜんこう
哀感	あいかん
喪服	もふく
堅気	かたぎ
塩辛	しおから
墨書	ぼくしょ
奇怪	きかい
宝冠	ほうかん
山麓	さんろく
帝都	ていと
弔電	ちょうでん
強震	きょうしん
心酔	しんすい
思慮	しりょ
悪弊	あくへい
憤死	ふんし
懇切	こんせつ
懇意	こんい
懐柔	かいじゅう
拙守	せっしゅ
捕球	ほきゅう
旦那	だんな
木彫	もくちょう
棄損	きそん
極刑	きょっけい
氾濫	はんらん
沈降	ちんこう
泥水	どろみず
泥酔	でいすい
洗髪	せんぱつ
流浪	るろう
湧水	ゆうすい
満載	まんさい
漂白	ひょうはく
激闘	げきとう
煙草	タバコ
狂奔	きょうほん
狂騒	きょうそう
珍事	ちんじ
痛惜	つうせき
盗人	ぬすびと
砲身	ほうしん
示威	じい
祝杯	しゅくはい
稚拙	ちせつ
穏便	おんびん
紋様	もんよう
緊要	きんよう
胃炎	いえん
腰椎	ようつい
薄日	うすび
褒賞	ほうしょう
覇気	はき
詩碑	しひ
豪商	ごうしょう
貫徹	かんてつ
路肩	ろかた
辛苦	しんく
邪悪	じゃあく
醜聞	しゅうぶん
錦絵	にしきえ
錯誤	さくご
鎮火	ちんか
鑑別	かんべつ
陰気	いんき
青嵐	あおあらし
高尚	こうしょう
丸裸	まるはだか
仏殿	ぶつでん
他薦	たせん
企図	きと
作況	さっきょう
併存	へいぞん
侍女	じじょ
偏狭	へんきょう
先攻	せんこう
入籍	にゅうせき
凍死	とうし
別離	べつり
募債	ぼさい
卵胞	らんぽう
双頭	そうとう
呪文	じゅもん
嘆息	たんそく
土葬	どそう
増援	ぞうえん
大仰	おおぎょう
妙薬	みょうやく
寝食	しんしょく
山伏	やまぶし
山塊	さんかい
岩壁	がんぺき
往還	おうかん
心拍	しんぱく
急逝	きゅうせい
