御幸	ぎょうき
御霊	みたま
懐刀	ふところがたな
所轄	しょかつ
搾乳	さくにゅう
散漫	さんまん
新奇	しんき
新羅	しらぎ
既製	きせい
早稲	わせ
暖炉	だんろ
横柄	おうへい
横軸	よこじく
歌姫	うたひめ
殊勝	しゅしょう
洞穴	ほらあな
湧出	ゆうしゅつ
漏出	ろうしゅつ
牙城	がじょう
狭義	きょうぎ
猟犬	りょうけん
真菌	しんきん
羅漢	らかん
自虐	じぎゃく
草丈	くさたけ
荒城	こうじょう
荒海	あらうみ
華厳	けごん
落盤	らくばん
薄口	うすくち
蚊帳	かや
蛮勇	ばんゆう
裸体	らたい
製陶	せいとう
覚醒	かくせい
詰問	きつもん
謹厳	きんげん
賞杯	しょうはい
踏襲	とうしゅう
逐次	ちくじ
重篤	じゅうとく
野菊	のぎく
銀盤	ぎんばん
鎖骨	さこつ
鐘楼	しょうろう
隣村	りんそん
離農	りのう
雪渓	せっけい
霊場	れいじょう
霊界	れいかい
音符	おんぷ
黒猫	くろねこ
付随	ふずい
伏流	ふくりゅう
会釈	えしゃく
俗語	ぞくご
僚船	りょうせん
僧籍	そうせき
儒学	じゅがく
充血	じゅうけつ
冶金	やきん
勃発	ぼっぱつ
卑下	ひげ
哀切	あいせつ
土塀	どべい
塗布	とふ
大奥	おおおく
奔流	ほんりゅう
寝顔	ねがお
小袖	こそで
巡行	じゅんこう
左遷	させん
廃園	はいえん
弁償	べんしょう
弱冠	じゃっかん
当該	とうがい
心房	しんぼう
心霊	しんれい
必携	ひっけい
忘却	ぼうきゃく
慈愛	じあい
慈眼	じげん
慢心	まんしん
懐古	かいこ
抄本	しょうほん
抱擁	ほうよう
敏速	びんそく
敷石	しきいし
暁星	ぎょうせい
枕詞	まくらことば
横幅	よこはば
歓送	かんそう
水仙	すいせん
沢山	たくさん
沼地	ぬまち
泥炭	でいたん
減衰	げんすい
湾曲	わんきょく
漆黒	しっこく
漸減	ぜんげん
炎熱	えんねつ
熟睡	じゅくすい
王侯	おうこう
甚句	じんく
疾風	しっぷう
白菊	しらぎく
着脱	ちゃくだつ
祭儀	さいぎ
窯元	かまもと
端役	はやく
粗暴	そぼう
精魂	せいこん
脊髄	せきずい
自爆	じばく
臭覚	しゅうかく
舶来	はくらい
薄皮	うすかわ
薄着	うすぎ
虚心	きょしん
被膜	ひまく
触診	しょくしん
詐取	さしゅ
路傍	ろぼう
透徹	とうてつ
造幣	ぞうへい
遠縁	とおえん
邦題	ほうだい
酒豪	しゅごう
醜悪	しゅうあく
鉄壁	てっぺき
鎮座	ちんざ
陶工	とうこう
零下	れいか
韻律	いんりつ
風洞	ふうどう
一陣	いちじん
両隣	りょうどなり
亀甲	きっこう
交錯	こうさく
修羅	しゅら
偏食	へんしょく
傾聴	けいちょう
内堀	うちぼり
凸凹	でこぼこ
勇猛	ゆうもう
即決	そっけつ
厄年	やくどし
厚遇	こうぐう
喪章	もしょう
営繕	えいぜん
土鍋	どなべ
埋没	まいぼつ
執刀	しっとう
塩尻	しおじり
天丼	てんどん
奥方	おくがた
妖艶	ようえん
婚儀	こんぎ
寡婦	かふ
巨星	きょせい
幾何	きか
彫塑	ちょうそ
彫金	ちょうきん
御者	ぎょしゃ
惨殺	ざんさつ
技監	ぎかん
拳法	けんぽう
放逐	ほうちく
栄枯	えいこ
棋界	きかい
機影	きえい
欧文	おうぶん
母胎	ぼたい
没年	ぼつねん
泰然	たいぜん
混紡	こんぼう
渇望	かつぼう
溶媒	ようばい
滅私	めっし
漢籍	かんせき
狂人	きょうじん
甲乙	こうおつ
症候	しょうこう
皆目	かいもく
監訳	かんやく
硫安	りゅうあん
秘匿	ひとく
粒状	りゅうじょう
納涼	のうりょう
縁台	えんだい
縦貫	じゅうかん
胎盤	たいばん
胸襟	きょうきん
腐臭	ふしゅう
衷心	ちゅうしん
褒章	ほうしょう
誤爆	ごばく
輝度	きど
通俗	つうぞく
邦字	ほうじ
邪険	じゃけん
酷寒	こっかん
鍵盤	けんばん
防臭	ぼうしゅう
霊験	れいげん
露光	ろこう
静粛	せいしゅく
一浪	いちろう
光輝	こうき
円陣	えんじん
出没	しゅつぼつ
出獄	しゅつごく
召喚	しょうかん
合掌	がっしょう
哺乳	ほにゅう
唐草	からくさ
墳丘	ふんきゅう
夕霧	ゆうぎり
天寿	てんじゅ
奥義	おうぎ
女郎	じょろう
如月	きさらぎ
寮費	りょうひ
尾行	びこう
屈伸	くっしん
巡演	じゅんえん
帰依	きえ
応召	おうしょう
応諾	おうだく
快眠	かいみん
性癖	せいへき
懐妊	かいにん
戦慄	せんりつ
扇形	おうぎがた
抄録	しょうろく
択一	たくいつ
拓本	たくほん
摩耗	まもう
敏腕	びんわん
整髪	せいはつ
敷物	しきもの
断髪	だんぱつ
早婚	そうこん
早寝	はやね
是認	ぜにん
朝霧	あさぎり
本訴	ほんそ
杉戸	すぎど
枕絵	まくらえ
概説	がいせつ
殉難	じゅんなん
沼沢	しょうたく
渡欧	とおう
煎茶	せんちゃ
狂犬	きょうけん
環視	かんし
瓦解	がかい
畏怖	いふ
病弊	びょうへい
睡魔	すいま
砕石	さいせき
突堤	とってい
粘性	ねんせい
線審	せんしん
繁茂	はんも
美貌	びぼう
羞恥	しゅうち
耐圧	たいあつ
耐水	たいすい
肩幅	かたはば
脂身	あぶらみ
脱色	だっしょく
舞曲	ぶきょく
色柄	いろがら
薄弱	はくじゃく
薪炭	しんたん
虚栄	きょえい
虚空	こくう
裾野	すその
賦課	ふか
軟派	なんぱ
軽蔑	けいべつ
透視	とうし
鍋物	なべもの
隙間	すきま
離乳	りにゅう
難渋	なんじゅう
霊泉	れいせん
靴屋	くつや
頂戴	ちょうだい
三昧	さんまい
三脚	さんきゃく
上棟	じょうとう
上端	じょうたん
不惑	ふわく
主峰	しゅほう
今宵	こよい
低俗	ていぞく
便箋	びんせん
光彩	こうさい
冥利	みょうり
刃先	はさき
剛健	ごうけん
剣劇	けんげき
剣客	けんかく
勘弁	かんべん
勧進	かんじん
