喫緊	きっきん
城郭	じょうかく
堀端	ほりばた
壮烈	そうれつ
外郭	がいかく
奇問	きもん
威風	いふう
完遂	かんすい
宗旨	しゅうし
家督	かとく
寸暇	すんか
尊称	そんしょう
強壮	きょうそう
御飯	ごはん
怒気	どき
急襲	きゅうしゅう
怨霊	おんりょう
怪盗	かいとう
恥辱	ちじょく
愚弄	ぐろう
拙劣	せつれつ
掌中	しょうちゅう
朗詠	ろうえい
朝貢	ちょうこう
来援	らいえん
来迎	らいごう
欧風	おうふう
歓呼	かんこ
気炎	きえん
汁気	しるけ
海亀	うみがめ
準拠	じゅんきょ
猟師	りょうし
玉露	ぎょくろ
甘辛	あまから
甘露	かんろ
甲種	こうしゅ
発煙	はつえん
着床	ちゃくしょう
砲台	ほうだい
硬質	こうしつ
租界	そかい
空疎	くうそ
竜宮	りゅうぐう
端午	たんご
粛軍	しゅくぐん
結縁	けちえん
網棚	あみだな
羨望	せんぼう
老廃	ろうはい
肉弾	にくだん
腎炎	じんえん
腰高	こしだか
腸炎	ちょうえん
苗床	なえどこ
菌類	きんるい
虚言	きょげん
融雪	ゆうせつ
覆土	ふくど
誘爆	ゆうばく
述懐	じゅっかい
退却	たいきゃく
進塁	しんるい
配偶	はいぐう
酷使	こくし
銀杯	ぎんぱい
銃身	じゅうしん
長柄	ながえ
随伴	ずいはん
隔日	かくじつ
雅号	がごう
電離	でんり
露呈	ろてい
頭巾	ずきん
騰勢	とうせい
一遍	いっぺん
一顧	いっこ
育苗	いくびょう
一匹	いっぴき
一軒	いっけん
上唇	うわくちびる
下唇	したくちびる
下敷	したじき
丹誠	たんせい
乗換	のりかえ
乾季	かんき
亡骸	なきがら
交替	こうたい
今更	いまさら
今頃	いまごろ
仙台	せんだい
何遍	なんべん
侮蔑	ぶべつ
促成	そくせい
倒置	とうち
元旦	がんたん
充分	じゅうぶん
先頃	さきごろ
内緒	ないしょ
冥福	めいふく
冷汗	ひやあせ
初詣	はつもうで
刹那	せつな
刺身	さしみ
勃起	ぼっき
化繊	かせん
半袖	はんそで
取扱	とりあつかい
団扇	うちわ
大概	たいがい
大粒	おおつぶ
失踪	しっそう
奥行	おくゆき
如何	いかが
完璧	かんぺき
宛先	あてさき
宛名	あてな
寂然	せきぜん
寝坊	ねぼう
寝巻	ねまき
寝息	ねいき
寝相	ねぞう
寝言	ねごと
尚更	なおさら
尻尾	しっぽ
屋敷	やしき
布巾	ふきん
年輩	ねんぱい
年頃	としごろ
幾度	いくど
幾日	いくにち
床屋	とこや
弊社	へいしゃ
御中	おんちゅう
御免	ごめん
御社	おんしゃ
徴候	ちょうこう
怪我	けが
悪戯	いたずら
憂鬱	ゆううつ
戯言	たわごと
所詮	しょせん
押入	おしいれ
拉致	らち
括弧	かっこ
拳骨	げんこつ
振込	ふりこみ
捻挫	ねんざ
排日	はいにち
掛軸	かけじく
摂氏	せっし
支払	しはらい
整頓	せいとん
斜体	しゃたい
暗闇	くらやみ
月賦	げっぷ
枯木	かれき
枯葉	かれは
梗塞	こうそく
横浜	よこはま
欠伸	あくび
欧米	おうべい
毀損	きそん
民俗	みんぞく
浜松	はままつ
淡白	たんぱく
渋谷	しぶや
渋面	じゅうめん
満更	まんざら
潤色	じゅんしょく
無恥	むち
焼芋	やきいも
煎餅	せんべい
牛丼	ぎゅうどん
物販	ぶっぱん
物陰	ものかげ
狩場	かりば
猫背	ねこぜ
猫舌	ねこじた
甘味	あまみ
生憎	あいにく
申込	もうしこみ
畜生	ちくしょう
痩身	そうしん
発症	はっしょう
眉毛	まゆげ
真髄	しんずい
禁錮	きんこ
穏和	おんわ
等閑	なおざり
箇所	かしょ
算盤	そろばん
締切	しめきり
縫目	ぬいめ
繰入	くりいれ
罰点	ばってん
脇見	わきみ
腕白	わんぱく
腰掛	こしかけ
臆病	おくびょう
自棄	やけ
苗字	みょうじ
萎縮	いしゅく
蜂蜜	はちみつ
裸足	はだし
親睦	しんぼく
謙遜	けんそん
販促	はんそく
貪欲	どんよく
貼付	ちょうふ
賞罰	しょうばつ
贈物	おくりもの
辛子	からし
近頃	ちかごろ
追伸	ついしん
進捗	しんちょく
遵守	じゅんしゅ
釣合	つりあい
鉢巻	はちまき
鎌倉	かまくら
長袖	ながそで
長閑	のどか
間柄	あいだがら
附属	ふぞく
除菌	じょきん
雅致	がち
雑巾	ぞうきん
露顕	ろけん
騰貴	とうき
骸骨	がいこつ
髪型	かみがた
鬼神	きしん
何歳	なんさい
妄信	もうしん
幅広	はばびろ
曽孫	ひまご
濫伐	らんばつ
爪先	つまさき
箇月	かげつ
附録	ふろく
麻婆	マーボー
